,sent,CODA,prep
22,منو صحبك المفضل,منو صحبك المفضل,منو صحبك المفضل
23,يوم الصحة والرياضة هو عشرة اكتوبر و هوعطلة قومية مصممة لتحسين صحة الناس,يوم الصحة والرياضة هو عشرة اكتوبر و هوعطلة قومية مصممة لتحسين صحة الناس,يوم الصحة والرياضة هو عشرة اكتوبر و هوعطلة قومية مصممة لتحسين صحة الناس
24,دايرني شوف تحت الكبوت,دايرني شوف تحت الكبوت,دايرني شوف تحت الكبوت
25,هل ممكن تساعدني القى شنطتي,هل ممكن تساعدني القى شنطتي,هل ممكن تساعدني القى شنطتي
26,هل ممكن تعمل ترتيبات مقدما,هل ممكن تعمل ترتيبات مقدما,هل ممكن تعمل ترتيبات مقدما
27,في زول بيساعدني شكرا ليك,في زول بيساعدني شكرا ليك,في زول بيساعدني شكرا ليك
28,لمن تصل هناك اسأل زول تاني من فضلك,لمن تصل هناك اسأل زول تاني من فضلك,لمن تصل هناك اسأل زول تاني من فضلك
29,داير تمديد اربعة وعشرين ساعة من فضلك,داير تمديد اربعة وعشرين ساعة من فضلك,داير تمديد اربعة وعشرين ساعة من فضلك
30,ديل دولارين اخد الباقي,ديل دولارين اخد الباقي,ديل دولارين اخد الباقي
31,هامبرقر واحد و واحد بيرقر بالجبنة من فضلك,هامبرقر واحد و واحد بيرقر بالجبنة من فضلك,هامبرقر واحد و واحد بيرقر بالجبنة من فضلك
32,نحن كلنا دايرين ندفع لي وجباتنا,نحن كلنا دايرين ندفع لي وجباتنا,نحن كلنا دايرين ندفع لي وجباتنا
33,الموقع كان في كرسي في اللوبي,الموقع كان في كرسي في اللوبي,الموقع كان في كرسي في اللوبي
34,من فضلك حول الينات دي لي جنيهات,من فضلك حول الينات دي لي جنيهات,من فضلك حول الينات دي لي جنيهات
35,داير دكشنري مقاس جيب من فضلك,داير دكشنري مقاس جيب من فضلك,داير دكشنري مقاس جيب من فضلك
36,لي نفرين الساعة سبعة الاسم واتانيبل,لي نفرين الساعة سبعة الاسم واتانيبل,لي نفرين الساعة سبعة الاسم واتانيبل
37,ساعتي كانت سيكو ديجيتال,ساعتي كانت سيكو ديجيتال,ساعتي كانت سيكو ديجيتال
38,انت ساكن بي هنا,انت ساكن بي هنا,انت ساكن بي هنا
39,وين دكان الهدايا,وين دكان الهدايا,وين دكان الهدايا
40,انا في الطريق السريع جنب مورو بي,انا في الطريق السريع جنب مورو بي,انا في الطريق السريع جنب مورو بي
41,داير لي ساعة تنبيه من فضلك,داير لي ساعة تنبيه من فضلك,داير لي ساعة تنبيه من فضلك
42,بالمناسبة اسمي هيروشي ايجيما,بالمناسبة اسمي هيروشي ايجيما,بالمناسبة اسمي هيروشي ايجيما
43,القطر دا بقيف في ليك فورست ول لا,القطر دا بقيف في ليك فورست ولا لأ,القطر ده بقيف في ليك فورست ولا لا
44,معظم اليابانيين بياكلوا اخطبوط و حبار,معظم اليابانيين بياكلوا اخطبوط و حبار,معظم اليابانيين بياكلوا اخطبوط و حبار
45,ممكن اخد تذكرتين درجة تانية الي شيكاغو من فضلك,ممكن اخد تذكرتين درجة ثانية لي شيكاغو من فضلك,ممكن اخد تذكرتين درجة تانية الي شيكاغو من فضلك
46,مشيت نيويورك,مشيت نيويورك,مشيت نيويورك
47,رقم الرحلة كم,رقم الرحلة كم,رقم الرحلة كم
48,واحد الى نيويورك من فضلك,واحد لي نيويورك من فضلك,واحد لي نيويورك من فضلك
49,لحوالي ايام قليلة,لحوالي ايام قليلة,لحوالي ايام قليلة
50,التاني على الشمال,الثاني على الشمال,التاني على الشمال
51,الكرت دا تمام,الكرت ده تمام,الكرت ده تمام
52,دا مكتب الاستقبال في عيادة قريبة,ده مكتب الاستقبال في عيادة قريبة,ده مكتب الاستقبال في عيادة قريبة
53,هل عشرة دولارات كفاية للتكسي,هل عشرة دولارات كفاية للتكسي,هل عشرة دولارات كفاية للتكسي
54,دا طعموا غريب,ده طعموا غريب,ده طعموا غريب
55,اي انتظر بجيب ليك واحد,اي انتظر بجيب ليك واحد,اي انتظر بجيب ليك واحد
56,نص قارورة من فضلك,نص قارورة من فضلك,نص قارورة من فضلك
57,ما حقيقة بس حاجة ما غالية,ما حقيقة بس حاجة ما غالية,ما حقيقة بس حاجة ما غالية
58,اربعة ليالي,اربعة ليالي,اربعة ليالي
59,داير بعض الشرابات,داير بعض الشرابات,داير بعض الشرابات
60,ممكن تخليه ارخص عشن في شوية بقع,ممكن تخليه ارخص عشن في شوية بقع,ممكن تخليه ارخص عشن في شوية بقع
61,زول صدمني بعد داك لاحظت انو محفظتي راحت,زول صدمني بعد داك لاحظت انو محفظتي راحت,زول صدمني بعد داك لاحظت انو محفظتي راحت
62,انا ما متأكد اذا ستفت هدوم كافية لي رحلة تلاته اسابيع,انا ما متأكد اذا ستفت هدوم كافية لي رحلة ثلاثة اسابيع,انا ما متأكد اذا ستفت هدوم كافية لي رحلة تلاته اسابيع
63,طيب دايرين نجرب خمرة بيضاء,طيب دايرين نجرب خمرة بيضاء,طيب دايرين نجرب خمرة بيضا
64,اذا في زول سأل عني كلمهم اني في المقهى,اذا في زول سأل عني كلمهم اني في المقهى,اذا في زول سأل عني كلمهم اني في المقهى
65,متأكد انه عندي في الجيب الداخلي بتاع الجاكيت بتاعي,متأكد انو عندي في الجيب الداخلي بتاع الجاكيت بتاعي,متأكد انه عندي في الجيب الداخلي بتاع الجاكيت بتاعي
66,ممكن اعرف الاسم و الرقم بتاع الزول الانت ضارب ليه,ممكن اعرف الاسم و الرقم بتاع الزول الانت ضارب ليه,ممكن اعرف الاسم و الرقم بتاع الزول الانت ضارب ليه
67,ما في حاجة جات طالعة من الآلة,ما في حاجة جات طالعة من الآلة,ما في حاجة جات طالعة من الآلة
68,كان مفترض تاخد الرحلة تمانية اتنين صفر الأقلعت قبل خمستاشر دقيقة كلو تمام ممكن انظم رحلة ثانية,كان مفترض تاخد الرحلة ثمانية اثنين صفر الأقلعت قبل خمستعشر دقيقة كلو تمام ممكن انظم رحلة ثانية,كان مفترض تاخد الرحلة تمانية اتنين صفر الأقلعت قبل خمستاشر دقيقة كلو تمام ممكن انظم رحلة ثانية
69,زول فك حزمتي,زول فك حزمتي,زول فك حزمتي
70,اوه ولا حاجة انت هنا على كل حال,اوه ولا حاجة انت هنا على كل حال,اوه ولا حاجة انت هنا على كل حال
71,الخطوط الجوية اليابانية رحلة رقم واحد اتنين تلاتة,الخطوط الجوية اليابانية رحلة رقم واحد اثنين ثلاثة,الخطوط الجوية اليابانية رحلة رقم واحد اتنين تلاتة
72,محتاج اشتري شامبوه,محتاج اشتري شامبوه,محتاج اشتري شامبوه
73,ممكن تكلمني لم نصل الي مركز مدني,ممكن تكلمني لم نصل لي مركز مدني,ممكن تكلمني لم نصل الي مركز مدني
74,وين اقرب جزار,وين اقرب جزار,وين اقرب جزار
75,دايرين نقعد اربعة ليالي من الأول من اغسطس,دايرين نقعد اربعة ليالي من الأول من اغسطس,دايرين نقعد اربعة ليالي من الأول من اغسطس
76,اسم الزهرة ديك شنو,اسم الزهرة ديك شنو,اسم الزهرة ديك شنو
77,خمستاشر سبتمبر هو يوم احترام للمسنين,خمستعشر سبتمبر هو يوم احترام للمسنين,خمستاشر سبتمبر هو يوم احترام للمسنين
78,هل في اي شي ممكن اخده للطفح دا,هل في اي شي ممكن اخده للطفح ده,هل في اي شي ممكن اخده للطفح ده
79,ممكن تغير صيغة الي القلته هسا,ممكن تغير صيغة الي القلته هسا,ممكن تغير صيغة الي القلته هسا
80,ممكن تتكلم اعلى شوية من فضلك,ممكن تتكلم اعلى شوية من فضلك,ممكن تتكلم اعلى شوية من فضلك
81,وين معلومات الرياضات,وين معلومات الرياضات,وين معلومات الرياضات
82,المقاس دا هنا الواحد المسميه مقاس منتظم بقضّي,المقاس ده هنا الواحد المسميه مقاس منتظم بقضّي,المقاس ده هنا الواحد المسميه مقاس منتظم بقضّي
83,وين مفترض اغير القطرعشن اصل ادينبيره,وين مفترض اغير القطرعشن اصل ادينبيره,وين مفترض اغير القطرعشن اصل ادينبيره
84,داير اخت دا في صندوق ايداع امن,داير اخت ده في صندوق ايداع امن,داير اخت ده في صندوق ايداع امن
85,وين ممكن ابدل قروش,وين ممكن ابدل قروش,وين ممكن ابدل قروش
86,ممكن نخلي حاجاتتا عدا القيمة في البص,ممكن نخلي حاجاتتا عدا القيمة في البص,ممكن نخلي حاجاتتا عدا القيمة في البص
87,محتار الرسوم دي في تلفوني لي شنو,محتار الرسوم دي في تلفوني لي شنو,محتار الرسوم دي في تلفوني لي شنو
88,الآن عرفت الكان غلط شنو,الآن عرفت الكان غلط شنو,الآن عرفت الكان غلط شنو
89,كم اوقية من العطر ممكن اشيل بدون جمارك,كم اوقية من العطر ممكن أشيل بدون جمارك,كم اوقية من العطر ممكن اشيل بدون جمارك
90,بس سياحة,بس سياحة,بس سياحة
91,تمام من فضلك وقعهم دايرو كيف,تمام من فضلك وقعهم دايره كيف,تمام من فضلك وقعهم دايرو كيف
92,هل ما زلت عندك,هل ما زلت عندك,هل ما زلت عندك
93,داير واحد كبير,داير واحد كبير,داير واحد كبير
94,نمت خلال منبه الستة و نص,نمت خلال منبه الستة و نص,نمت خلال منبه الستة و نص
95,انا مصور حر,انا مصور حر,انا مصور حر
96,التجار ممكن يحاولوا دولاراتك لي قطع الكازينو,التجار ممكن يحاولوا دولاراتك لي قطع الكازينو,التجار ممكن يحاولوا دولاراتك لي قطع الكازينو
97,عندنا حوالي تلاتين نوع من صابون الحمام,عندنا حوالي ثلاثين نوع من صابون الحمام,عندنا حوالي تلاتين نوع من صابون الحمام
98,شكرا ليك كم سعر القفازات دي,شكرا ليك كم سعر القفازات دي,شكرا ليك كم سعر القفازات دي
99,داير بعض الحفاظات الممكن التخلص منها,داير بعض الحفاظات الممكن التخلص منها,داير بعض الحفاظات الممكن التخلص منها
100,من وين اصل سمك الفراشات ده,من وين اصل سمك الفراشات ده,من وين اصل سمك الفراشات ده
101,هل في اي ليموزين,هل في اي ليموزين,هل في اي ليموزين
102,ممكن تضربو لي تصحوني خمسة و نص بكرة الصباح,ممكن تضربوا لي تصحوني  خمسة و نص بكرة الصباح,ممكن تضربو لي تصحوني خمسة و نص بكرة الصباح
103,بفضل غرفة هادية,بفضل غرفة هادية,بفضل غرفة هادية
104,داير مزيل منكير,داير مزيل منكير,داير مزيل منكير
105,داير بطارية,داير بطارية,داير بطارية
106,هل في فرقة لايف ول دي جي,هل في فرقة لايف ولا دي جي,هل في فرقة لايف ولا دي جي
107,هل ممكن اأجّر شوية معدات الغطس,هل ممكن اأجّر شوية معدات الغطس,هل ممكن اأجّر شوية معدات الغطس
108,داير احجز غرفة لي اربعة ليالي من اتنين وعشرين ديسمبر,داير احجز غرفة لي اربعة ليالي من اثنين وعشرين ديسمبر,داير احجز غرفة لي اربعة ليالي من اتنين وعشرين ديسمبر
109,هل الشنطه دي بتناسب اي طقس,هل الشنطة دي بتناسب اي طقس,هل الشنطه دي بتناسب اي طقس
110,داير دونات من فضلك,داير دونات من فضلك,داير دونات من فضلك
111,فوت الرحلة عشرين لي سان فرانسيسكو,فوت الرحلة عشرين لي سان فرانسيسكو,فوت الرحلة عشرين لي سان فرانسيسكو
112,كم للمطار,كم للمطار,كم للمطار
113,داك كويس متين,داك كويس متين,داك كويس متين
114,كم عمر بنتك,كم عمر بنتك,كم عمر بنتك
115,ممكن توريني شوية من الفنادق الرخيصة و النضيفة,ممكن توريني شوية من الفنادق الرخيصة و النضيفة,ممكن توريني شوية من الفنادق الرخيصة و النضيفة
116,ممكن نحجز ليك غرفة مريحة في قصر قديم جنب نادي قولف مشهور,ممكن نحجز ليك غرفة مريحة في قصر قديم جنب نادي قولف مشهور,ممكن نحجز ليك غرفة مريحة في قصر قديم جنب نادي قولف مشهور
117,بزكي دا لأنه مصنوع من مية في المية مكونات طبيعية,بزكي دا لأنه مصنوع من مية في المية مكونات طبيعية,بزكي ده لأنه مصنوع من مية في المية مكونات طبيعية
118,هل القطر بيقف في برايتون,هل القطر بيقف في برايتون,هل القطر بيقف في برايتون
119,ممكن تكلمني وين ممكن القى تكسي,ممكن تكلمني وين ممكن القى تكسي,ممكن تكلمني وين ممكن القى تكسي
120,تزكرتين درجة ثانية من فضلك,تزكرتين درجة ثانية من فضلك,تزكرتين درجة ثانية من فضلك
121,داير ارسل فاكس,داير ارسل فاكس,داير ارسل فاكس
122,داير حديد ترحال,داير حديد ترحال,داير حديد ترحال
123,ممكن اقدم ليك اي حاجة,ممكن اقدم ليك اي حاجة,ممكن اقدم ليك اي حاجة
124,يومي خايف اسأل لكن قصدك شنو,يومي خايف اسأل لكن قصدك شنو,يومي خايف اسأل لكن قصدك شنو
125,اي لكن ما قوي شديد,اي لكن ما قوي شديد,اي لكن ما قوي شديد
126,انا حساس للكدايس,انا حساس للكدايس,انا حساس للكدايس
127,اي مفروض تملك رخصة قيادة و اه انت مفروض يكون عندك رخصة من لجنة التكسي و الليموزين,اي مفروض تملك رخصة قيادة و اه انت مفروض يكون عندك رخصة من لجنة التكسي و الليموزين,اي مفروض تملك رخصة قيادة و اه انت مفروض يكون عندك رخصة من لجنة التكسي و الليموزين
128,واصل يا سيدي,واصل يا سيدي,واصل يا سيدي
129,داير احجز غرفة لليلة,داير احجز غرفة لليلة,داير احجز غرفة لليلة
130,لا استبعد الضرائب و مصاريف الخدمة,لا استبعد الضرائب و مصاريف الخدمة,لا استبعد الضرايب و مصاريف الخدمة
131,داير تمشي معاي تسوق الليلة,داير تمشي معاي تسوق الليلة,داير تمشي معاي تسوق الليلة
132,هاي دا حقيقة فستان جميل,هاي ده حقيقة فستان جميل,هاي ده حقيقة فستان جميل
133,الآن مكالمتك اتقبلت  من فضلك اتفضل,الآن مكالمتك اتقبلت  من فضلك اتفضل,الآن مكالمتك اتقبلت من فضلك اتفضل
134,كم رقم البوابة,كم رقم البوابة,كم رقم البوابة
135,شنو مطابق تزكار هاوايوان,شنو مطابق تزكار هاوايوان,شنو مطابق تزكار هاوايوان
136,ممكن اصل هناك بالنفق,ممكن اصل هناك بالنفق,ممكن اصل هناك بالنفق
137,داير مجفف شعر,داير مجفف شعر,داير مجفف شعر
138,انا جيت من النرويج,انا جيت من النرويج,انا جيت من النرويج
139,من عشرة لي حداشر من فضلك,من عشرة لي حدعشر من فضلك,من عشرة لي حداشر من فضلك
140,بالتأكيد خليني اشوفه انت اتجرحت بالمهرجان بفترض,بالتأكيد خليني اشوفه انت اتجرحت بالمهرجان افترض,بالتأكيد خليني اشوفه انت اتجرحت بالمهرجان بفترض
141,احتياطيا خليني اخد رقم الزول المسؤول,احتياطيا خليني اخد رقم الزول المسؤول,احتياطيا خليني اخد رقم الزول المسؤول
142,هل في طريق سريع,هل في طريق سريع,هل في طريق سريع
143,لي ما جاء الحفلة امبارح,ليه ما جا الحفلة امبارح,لي ما جا الحفلة امبارح
144,كان في حادث مرور,كان في حادث مرور,كان في حادث مرور
145,سوري عندي الرقم الغلط,سوري عندي الرقم الغلط,سوري عندي الرقم الغلط
146,من فضلك دخل ال بي آي ان بتاعك,من فضلك دخل ال بي آي ان بتاعك,من فضلك دخل ال بي آي ان بتاعك
147,م قادر اعدل الصورة,ما قادر اعدل الصورة,ما قادر اعدل الصورة
148,واحد بيرقر جبنة و عصير برتقال من فضلك,واحد بيرقر جبنة و عصير برتقال من فضلك,واحد بيرقر جبنة و عصير برتقال من فضلك
149,دا جوازي,دا جوازي,ده جوازي
150,لي شكرا ليك كتير اه هل ممكن امشي فوق للقمة,ليه شكرا ليك كثير اه هل ممكن امشي فوق للقمة,لي شكرا ليك كتير اه هل ممكن امشي فوق للقمة
151,ممكن اخد الكروية للموسيقى الجمعة الجاية,ممكن اخد الكروية للموسيقى الجمعة الجاية,ممكن اخد الكروية للموسيقى الجمعة الجاية
152,راكب تاني هناك قال ممكن يبدل معاك المقعد,راكب ثاني هناك قال ممكن يبدل معاك المقعد,راكب تاني هناك قال ممكن يبدل معاك المقعد
153,ممكن امدد اقامتي,ممكن امدد اقامتي,ممكن امدد اقامتي
154,بتعرف اي حاجة بتستحق تتشاف قريب من هنا,بتعرف اي حاجة بتستحق تتشاف قريب من هنا,بتعرف اي حاجة بتستحق تتشاف قريب من هنا
155,لا داير اأجر نص طقم من المضارب و جزمة,لا داير اأجر نص طقم من المضارب و جزمة,لا داير اأجر نص طقم من المضارب و جزمة
156,ممكن توريني لم الشنطة الرايحة تتلقى,ممكن توريني لم الشنطة الرايحة تتلقي,ممكن توريني لم الشنطة الرايحة تتلقى
157,شنو اسم الحديقة القومية دي,شنو اسم الحديقة القومية دي,شنو اسم الحديقة القومية دي
158,عندي جرح,عندي جرح,عندي جرح
159,وين مكان جيد للسياحة,وين مكان جيد للسياحة,وين مكان جيد للسياحة
160,ممكن اشيل شوية فواكه,ممكن اشيل شوية فواكه,ممكن اشيل شوية فواكه
161,ممكن اتغدا هسي,ممكن اتغدى هسي,ممكن اتغدا هسي
162,محتاج ابدل الدولارات دي,محتاج ابدل الدولارات دي,محتاج ابدل الدولارات دي
163,بالتأكيد داير كيرلي,بالتأكيد داير كيرلي,بالتأكيد داير كيرلي
164,هو ما تفاح لكن خوخ,هو ما تفاح لكن خوخ,هو ما تفاح لكن خوخ
165,بنطير تلاتة ايام في الاسبوع في التلاتاء الجمعة و السبت,بنطير ثلاثة ايام في الاسبوع في الثلاثاء الجمعة و السبت,بنطير تلاتة ايام في الاسبوع في التلاتا الجمعة و السبت
166,داك غالي ول لا,داك غالي ولا لا,داك غالي ولا لا
167,لا انا بس داير انزل,لا انا بس داير أنزل,لا انا بس داير انزل
168,ممكن احجز اجر-عربية هنا,ممكن احجز اجر-عربية هنا,ممكن احجز اجر-عربية هنا
169,هل انت امريكي,هل انت امريكي,هل انت امريكي
170,للمكان دا من فضلك,للمكان ده من فضلك,للمكان ده من فضلك
171,عربيتي اتسرقت,عربيتي اتسرقت,عربيتي اتسرقت
172,وين ظل العين,وين ظل العين,وين ظل العين
173,دايرين ركن هادئ لو ممكن,دايرين ركن هادي  لو ممكن,دايرين ركن هادي لو ممكن
174,هل التكسي دا مجاني,هل التكسي ده مجاني,هل التكسي ده مجاني
175,هل دي محطة اكسبريس,هل دي محطة اكسبريس,هل دي محطة اكسبريس
176,ياتو زمن مفروض اجي ماري,ياتو زمن مفروض اجي ماري,ياتو زمن مفروض اجي ماري
177,داير قزازة نبيذ ابيض صغيرة,داير قزازة نبيذ ابيض صغيرة,داير قزازة نبيذ ابيض صغيرة
178,اه ممكن اخد وجبتي بعدين ما حاسي اني كويس اسى,اه ممكن اخد وجبتي بعدين ما حاسي اني كويس اسي,اه ممكن اخد وجبتي بعدين ما حاسي اني كويس اسى
179,اي سراويل تانيه,اي سراويل ثانية,اي سراويل تانيه
180,ممكن اخد برنامج,ممكن اخد برنامج,ممكن اخد برنامج
181,في زول اقتحم غرفتي امبارح بالليل,في زول اقتحم غرفتي امبارح بالليل,في زول اقتحم غرفتي امبارح بالليل
182,وريني السمك الشفته اليوم في الألبوم من فضلك,وريني السمك الشفته اليوم في الألبوم من فضلك,وريني السمك الشفته اليوم في الألبوم من فضلك
183,شوف التعليمات في علبة الأكل المفرغة من الهواء,شوف التعليمات في علبة الأكل المفرغة من الهواء,شوف التعليمات في علبة الأكل المفرغة من الهوا
184,داير قروش ورق,داير قروش ورق,داير قروش ورق
185,هو خطف محفظتي وهرب,هو خطف محفظتي وهرب,هو خطف محفظتي وهرب
186,م عندك دروس تجريبيه,ما عندك دروس تجريبيه,ما عندك دروس تجريبيه
187,وين ممكن اشتري طوابع بريدية,وين ممكن اشتري طوابع بريدية,وين ممكن اشتري طوابع بريدية
188,انا من بريطانيا العظمى,انا من بريطانيا العظمى,انا من بريطانيا العظمى
189,انا لازم اراجع داك مع زوجتي,انا لازم اراجع داك مع زوجتي,انا لازم اراجع داك مع زوجتي
190,داير تعويض لي ده,داير تعويض لي ده,داير تعويض لي ده
191,هناك في صندوق تلفون قدام البنك داك,هناك في صندوق تلفون قدام البنك داك,هناك في صندوق تلفون قدام البنك داك
192,داك غالي شويه ولا رايك شنو,داك غالي شوية ولا رايك شنو,داك غالي شويه ولا رايك شنو
193,هل انت عندك العقل,هل انت عندك العقل,هل انت عندك العقل
194,وين محطة البص الترفيه,وين محطة البص الترفيه,وين محطة البص الترفيه
195,هل انت مهتم بالتحلية,هل انت مهتم بالتحلية,هل انت مهتم بالتحلية
196,انت بتتكلم,انت بتتكلم,انت بتتكلم
197,نفس الشي لي انا من فضلك,نفس الشي لي انا من فضلك,نفس الشي لي انا من فضلك
198,طلبي ما وصل,طلبي ما وصل,طلبي ما وصل
199,في ينابيع سخنه كتيرة,في ينابيع سخنه كثيرة,في ينابيع سخنه كتيرة
200,من فضلك حول خمسين الف ين للدولار الأمريكي,من فضلك حول خمسين الف ين للدولار الأمريكي,من فضلك حول خمسين الف ين للدولار الأمريكي
201,داك كويس معاي في الحقيقه داير ادخن,داك كويس معاي في الحقيقة داير ادخن,داك كويس معاي في الحقيقه داير ادخن
202,وين ممكن اأجر ادوات سكي وجزم,وين ممكن اأجر ادوات سكي وجزم,وين ممكن اأجر ادوات سكي وجزم
203,نسيت مشروباتنا,نسيت مشروباتنا,نسيت مشروباتنا
204,ممكن ترسله لعنواني في اليابان ببريد تجمع الحزمه العالميه,ممكن ترسله لعنواني في اليابان ببريد تجمع الحزمه العالميه,ممكن ترسله لعنواني في اليابان ببريد تجمع الحزمه العالميه
205,داير قزازة نبيذ احمر,داير قزازة نبيذ احمر,داير قزازة نبيذ احمر
206,بس لو كانت حقتك يا استاذ ههه-ههه نكته صغيره بس,بس لو كانت حقتك يا استاذ ههه-ههه نكتة صغيرة بس,بس لو كانت حقتك يا استاذ ههه-ههه نكته صغيره بس
207,بالتأكيد  كيف ممكن تندمج,بالتأكيد  كيف ممكن تندمج,بالتأكيد كيف ممكن تندمج
208,عندنا بيره ويسكي براندي جن فودكا و خمر,عندنا بيرة ويسكي براندي جن فودكا و خمر,عندنا بيره ويسكي براندي جن فودكا و خمر
209,هويه اوه صاح هل باسبورت اوكي,هويه اوه صاح هل باسبورت اوكي,هويه اوه صاح هل باسبورت اوكي
210,رقم غرفتي تلاتة ستة وعشرين هل ممكن تشيل غسيلي,رقم غرفتي ثلاثة ستة وعشرين هل ممكن تشيل غسيلي,رقم غرفتي تلاتة ستة وعشرين هل ممكن تشيل غسيلي
211,داير غلاية,داير غلاية,داير غلاية
212,جبتي لي شويه جبنه مضفره,جبتي لي شوية جبنة مضفرة,جبتي لي شويه جبنه مضفره
213,هل ممكن القي قمصاني نضيفه صباح بكره,هل ممكن القى قمصاني نضيفة صباح بكرة,هل ممكن القي قمصاني نضيفه صباح بكره
214,ممكن تخليه يرجع لي,ممكن تخليه يرجع لي,ممكن تخليه يرجع لي
215,ليه طيب,ليه طيب,ليه طيب
216,اعذرني  هل في اي مكتبات هنا,اعذرني  هل في اي مكتبات هنا,اعذرني هل في اي مكتبات هنا
217,اعتقد انك عملت غلطه الغرفة كانت مجهزه عندي ايصال,اعتقد انك عملت غلطة الغرفة كانت مجهزة عندي ايصال,اعتقد انك عملت غلطه الغرفة كانت مجهزه عندي ايصال
218,البص هناك,البص هناك,البص هناك
219,داير لفتين من ايزو ميه فلم ملون سته وتلاتين صورة من فضلك,داير لفتين من ايزو ميه فلم ملون ستة وثلاثين صورة من فضلك,داير لفتين من ايزو ميه فلم ملون سته وتلاتين صورة من فضلك
220,داير اصدق شيك السبعين دولار دا,داير اصدق شيك السبعين دولار ده,داير اصدق شيك السبعين دولار ده
221,هل في اي بنوك جمب المحطة,هل في اي بنوك جنب المحطة,هل في اي بنوك جمب المحطة
222,للاسف في غلط في الفاتورة,للاسف في غلط في الفاتورة,للاسف في غلط في الفاتورة
223,هو هنا,هو هنا,هو هنا
224,واحد بيرقر جبنه عشان امشي من فضلك,واحد بيرقر جبنه عشان امشي من فضلك,واحد بيرقر جبنه عشان امشي من فضلك
225,ما بتقدر تعمل شغل التصميم بدون كمبيوتر بعد دا,ما بتقدر تعمل شغل التصميم بدون كمبيوتر بعد ده,ما بتقدر تعمل شغل التصميم بدون كمبيوتر بعد ده
226,اجرى,أجري,اجرى
227,في شرطه في بلوزتي ممكن تخيطها لي من فضلك,في شرطة في بلوزتي ممكن تخيطها لي من فضلك,في شرطه في بلوزتي ممكن تخيطها لي من فضلك
228,التعريفة كم لى مانشستر,التعريفة كم لي مانشستر,التعريفة كم لى مانشستر
229,ممكن تعيرني كيبل تقويه,ممكن تعيرني كيبل تقوية,ممكن تعيرني كيبل تقويه
230,وين ممكن اشتري حصيرة الشاطئ,وين ممكن أشتري حصيرة الشاطئ,وين ممكن اشتري حصيرة الشاطي
231,من فضلك اديني حجر جديد,من فضلك أديني حجر جديد,من فضلك اديني حجر جديد
232,اديني شوية لحم خنزير لكن ما سميك زي داك,اديني شوية لحم خنزير لكن ما سميك زي داك,اديني شوية لحم خنزير لكن ما سميك زي داك
233,نحن جايين سبعة,نحن جايين سبعة,نحن جايين سبعة
