,sentID.BTEC,split,lang,sent,revised,CODA
18,157,corpus-6-test-corpus-26-train,KHA,صباح الخير. كيفك؟,,صباح الخير. كيفك؟
19,158,corpus-6-test-corpus-26-train,KHA,آسف ح احتاج اشوف اثبات هوية.,,آسف حاحتاج اشوف اثبات هوية.
20,169,corpus-6-test-corpus-26-train,KHA,ياتو نوع من الصوص؟,,ياتو نوع من الصوص؟
21,170,corpus-6-test-corpus-26-train,KHA,دا بارد شوية. ممكن تسخنه؟,,ده بارد شوية. ممكن تسخنه؟
22,173,corpus-6-test-corpus-26-test,KHA,معليش، المكان دا محجوز.,,معليش، المكان ده محجوز.
23,176,corpus-6-test-corpus-26-train,KHA,انا تمام. بس ممكن تتصل ب صحبى؟,انا تمام. بس ممكن تتصل ل صحبى؟,انا تمام. بس ممكن تتصل لي صحبى؟
24,177,corpus-6-test-corpus-26-test,KHA,شكرا، دا كفاية.,,شكرا، ده كفاية.
25,184,corpus-6-test-corpus-26-train,KHA,منو صحبك المفضل؟,,منو صحبك المفضل؟
26,187,corpus-6-test-corpus-26-train,KHA,يوم الصحة والرياضة العاشر من أكتوبر هو عطلة قومية مصممة لتحسين صحة الناس.,يوم الصحة والرياضة هو عشرة أكتوبر و هوعطلة قومية مصممة لتحسين صحة الناس.,يوم الصحة والرياضة هو عشرة اكتوبر و هوعطلة قومية مصممة لتحسين صحة الناس.
27,192,corpus-6-test-corpus-26-train,KHA,هل انت دايرني اتحقق تحت غطا العربية؟,دايرني شوف تحت الكبوت؟,دايرني شوف تحت الكبوت؟
28,206,corpus-6-test-corpus-26-train,KHA,هل ممكن تساعدني ألقى شنطتي؟,,هل ممكن تساعدني القى شنطتي؟
29,221,corpus-6-test-corpus-26-train,KHA,هل ممكن تعمل ترتيبات مقدما؟,,هل ممكن تعمل ترتيبات مقدما؟
30,238,corpus-6-test-corpus-26-train,KHA,في زول بيساعدني. شكرا ليك.,,في زول بيساعدني. شكرا ليك.
31,261,corpus-6-test-corpus-26-train,KHA,لمن تصل هناك، اسأل زول تاني، من فضلك.,,لمن تصل هناك، اسأل زول تاني، من فضلك.
32,280,corpus-6-test-corpus-26-train,KHA,داير تمديد أربعة وعشرين ساعة، من فضلك.,,داير تمديد اربعة وعشرين ساعة، من فضلك.
33,285,corpus-6-test-corpus-26-train,KHA,ديل دولارين. اخد الباقي.,,ديل دولارين. اخد الباقي.
34,315,corpus-6-test-corpus-26-train,KHA,هامبرقر واحد و واحد بيرقر بالجبنة، من فضلك.,,هامبرقر واحد و واحد بيرقر بالجبنة، من فضلك.
35,319,corpus-6-test-corpus-26-train,KHA,كم من السعر بتطلب للعملية؟,العملية ح تكلف كم؟,العملية حتكلف كم؟
36,320,corpus-6-test-corpus-26-train,KHA,نحن كلنا دايرين ندفع لي وجباتنا.,,نحن كلنا دايرين ندفع لي وجباتنا.
37,326,corpus-6-test-corpus-26-train,KHA,الموقع كان في كرسي في اللوبي.,,الموقع كان في كرسي في اللوبي.
38,333,corpus-6-test-corpus-26-test,KHA,من فضلك حول هذه الينات إلى جنيهات.,من فضلك حول الينات دي لي جنيهات.,من فضلك حول الينات دي لي جنيهات.
39,346,corpus-6-test-corpus-26-train,KHA,داير دكشنري مقاس جيب، من فضلك.,,داير دكشنري مقاس جيب، من فضلك.
40,360,corpus-6-test-corpus-26-train,KHA,لنفرين عند السابعة. الاسم واتانيبل.,لي نفرين الساعة سبعة. الاسم واتانيبل.,لي نفرين الساعة سبعة. الاسم واتانيبل.
41,368,corpus-6-test-corpus-26-train,KHA,ساعتي. كانت سيكو ديجيتال.,,ساعتي. كانت سيكو ديجيتال.
42,370,corpus-6-test-corpus-26-train,KHA,ح يكون متعتنا ان نخدمك بمشروب من اختيارك، مصحوب بي عشاء. دليل كامل من المشروبات البنوفرها في الرحلة دي موجودة في دليل المعلومة بتاع مجلتنا.,ح يكون شرفنا ان نخدمك بمشروب من اختيارك، معاه عشاء. دليل كامل من المشروبات البنوفرها في الرحلة دي موجود في دليل المعلومات بتاع مجلتنا., حيكون شرفنا انو نخدمك بمشروب من اختيارك، معاه عشاء. دليل كامل من المشروبات البنوفرها في الرحلة دي موجود في دليل المعلومات بتاع مجلتنا.
43,373,corpus-6-test-corpus-26-test,KHA,انت ساكن بي هنا؟,,انت ساكن بي هنا؟
44,375,corpus-6-test-corpus-26-train,KHA,وين دكان دكان الهدايا؟,وين دكان الهدايا؟,وين دكان الهدايا؟
45,386,corpus-6-test-corpus-26-test,KHA,انا في الطريق السريع جنب مورو بي.,,انا في الطريق السريع جنب مورو بي.
46,391,corpus-6-test-corpus-26-train,KHA,داير لي ساعة تنبيه، من فضلك.,,داير لي ساعة تنبيه، من فضلك.
47,398,corpus-6-test-corpus-26-dev,KHA,بالمناسبة، اسمي هيروشي ايجيما.,,بالمناسبة، اسمي هيروشي ايجيما.
48,401,corpus-6-test-corpus-26-dev,KHA,القطر دا بقيف في ليك فورست، ول لا؟,,القطر دا بقيف في ليك فورست، ولا لأ؟
49,408,corpus-6-test-corpus-26-train,KHA,معظم اليابانيين بياكلوا اخطبوط و حبار.,,معظم اليابانيين بياكلوا اخطبوط و حبار.
50,416,corpus-6-test-corpus-26-train,KHA,ممكن اخد تذكرين درجة تانية الي شيكاغو، من فضلك؟,ممكن اخد تذكرتين درجة تانية الي شيكاغو، من فضلك؟,ممكن اخد تذكرتين درجة ثانية لي شيكاغو، من فضلك؟
51,419,corpus-6-test-corpus-26-train,KHA,مشيت نيويورك.,,مشيت نيويورك.
52,423,corpus-6-test-corpus-26-train,KHA,رقم الرحلة كم؟,,رقم الرحلة كم؟
53,442,corpus-6-test-corpus-26-test,KHA,واحد إلى نيويورك، من فضلك.,,واحد لي نيويورك، من فضلك.
54,446,corpus-6-test-corpus-26-train,KHA,لحوالي أيام قليلة.,,لحوالي ايام قليلة.
55,447,corpus-6-test-corpus-26-train,KHA,التاني على الشمال.,,الثاني على الشمال.
56,471,corpus-6-test-corpus-26-dev,KHA,الكرت دا، تمام؟,,الكرت ده، تمام؟
57,488,corpus-6-test-corpus-26-train,KHA,دا مكتب الاستقبال؟ في عيادة قريبة؟,,ده مكتب الاستقبال؟ في عيادة قريبة؟
58,493,corpus-6-test-corpus-26-train,KHA,هل عشرة دولارات كفاية للتكسي؟,,هل عشرة دولارات كفاية للتكسي؟
59,503,corpus-6-test-corpus-26-train,KHA,دا طعموا غريب.,,ده طعموا غريب.
60,512,corpus-6-test-corpus-26-train,KHA,أي. انتظر، بجيب ليك واحد.,,اي. انتظر، بجيب ليك واحد.
61,516,corpus-6-test-corpus-26-train,KHA,نص قارورة، من فضلك.,,نص قارورة، من فضلك.
62,540,corpus-6-test-corpus-26-train,KHA,ما حقيقة. بس حاجة ما غالية.,,ما حقيقة. بس حاجة ما غالية.
63,548,corpus-6-test-corpus-26-train,KHA,بتفتش لحاجة؟,,بتفتش لي حاجة؟
64,551,corpus-6-test-corpus-26-train,KHA,أربعة ليالي.,,اربعة ليالي.
65,553,corpus-6-test-corpus-26-train,KHA,داير بعض الجوارب.,داير بعض الشرابات.,داير بعض الشرابات.
66,565,corpus-6-test-corpus-26-train,KHA,ممكن تخليه ارخص لان هناك بعض البقع؟,ممكن تخليه ارخص عشن في شوية بقع؟,ممكن تخليه ارخص عشن في شوية بقع؟
67,571,corpus-6-test-corpus-26-train,KHA,رجل صدمني. بعد داك لاحظت ان محفظتي ذهبت.,زول صدمني. بعد داك لاحظت انو محفظتي راحت.,زول صدمني. بعد داك لاحظت انو محفظتي راحت.
68,599,corpus-6-test-corpus-26-train,KHA,انا ما متأكد اذا حزمت ملابس كافية لي رحلة تلاته اسابيع.,انا ما متأكد اذا ستفت هدوم كافية لي رحلة تلاته اسابيع.,انا ما متأكد اذا ستفت هدوم كافية لي رحلة ثلاثة اسابيع.
69,612,corpus-6-test-corpus-26-train,KHA,طيب، دايرين نجرب خمرة بيضاء.,,طيب، دايرين نجرب خمرة بيضاء.
70,631,corpus-6-test-corpus-26-train,KHA,اذا في زول سأل عني، كلمهم اني في المقهى.,,اذا في زول سأل عني، كلمهم اني في المقهى.
71,632,corpus-6-test-corpus-26-train,KHA,متأكد أنه عندي في الجيب الداخلي بتاع الجاكيت بتاعي.,,متأكد انو عندي في الجيب الداخلي بتاع الجاكيت بتاعي.
72,641,corpus-6-test-corpus-26-test,KHA,ممكن اعرف الاسم و الرقم بتاع الشخص الانت متصل ليه؟,ممكن اعرف الاسم و الرقم بتاع الزول الانت ضارب ليه؟,ممكن اعرف الاسم و الرقم بتاع الزول الانت ضارب ليه؟
73,643,corpus-6-test-corpus-26-train,KHA,هل الخطوط الجوية ح تدفع لي عشان اشتري بعض الضروريات الشخصية؟,,هل الخطوط الجوية حتدفع لي عشان اشتري بعض الضروريات الشخصية؟
74,650,corpus-6-test-corpus-26-train,KHA,داير لي غرفة بحمام.,,داير لي غرفة بي حمام.
75,652,corpus-6-test-corpus-26-dev,KHA,ما في حاجة جات طالعة من الآلة؟,,ما في حاجة جات طالعة من الآلة؟
76,667,corpus-6-test-corpus-26-test,KHA,كان مفترض تاخد الرحلة تمانية اتنين صفر، الأقلعت قبل خمستاشر دقيقة. كلو تمام. ممكن أنظم رحلة ثانية.,,كان مفترض تاخد الرحلة ثمانية اثنين صفر، الأقلعت قبل خمستعشر دقيقة. كلو تمام. ممكن انظم رحلة ثانية.
77,673,corpus-6-test-corpus-26-train,KHA,زول فك حزمتي.,,زول فك حزمتي.
78,679,corpus-6-test-corpus-26-test,KHA,اوه، ولا حاجة. انت هنا، على كل حال.,,اوه، ولا حاجة. انت هنا، على كل حال.
79,680,corpus-6-test-corpus-26-train,KHA,الخطوط الجوية اليابانية، رحلة رقم واحد اتنين تلاتة.,,الخطوط الجوية اليابانية، رحلة رقم واحد اثنين ثلاثة.
80,681,corpus-6-test-corpus-26-train,KHA,محتاج اشتري شامبوه.,,محتاج اشتري شامبوه.
81,683,corpus-6-test-corpus-26-train,KHA,ممكن تكلمني لم نصل الي مركز مدني؟,,ممكن تكلمني لم نصل لي مركز مدني؟
82,688,corpus-6-test-corpus-26-train,KHA,وين أقرب جزار؟,,وين اقرب جزار؟
83,703,corpus-6-test-corpus-26-train,KHA,دايرين نقعد أربعة ليالي من الأول من أغسطس.,,دايرين نقعد اربعة ليالي من الأول من اغسطس.
84,708,corpus-6-test-corpus-26-train,KHA,اسم الزهرة ديك شنو؟,,اسم الزهرة ديك شنو؟
85,719,corpus-6-test-corpus-26-train,KHA,خمستشار سبتمبر هو يوم احترام للمسنين.,خمستاشر سبتمبر هو يوم احترام للمسنين.,خمستعشر سبتمبر هو يوم احترام للمسنين.
86,723,corpus-6-test-corpus-26-train,KHA,ما في صابون في غرفتي.,,مافي صابون في غرفتي.
87,741,corpus-6-test-corpus-26-dev,KHA,هل هناك اي شي ممكن اخده للطفح دا؟,هل في اي شي ممكن اخده للطفح دا؟,هل في اي شي ممكن اخده للطفح ده؟
88,742,corpus-6-test-corpus-26-train,KHA,هل يمكنك تغير الصيغة الي القلته الان؟,ممكن تغير صيغة الي القلته هسا؟,ممكن تغير صيغة الي القلته هسا؟
89,761,corpus-6-test-corpus-26-test,KHA,ح تستغرق كم للطلب؟,,حتستغرق كم للطلب؟
90,773,corpus-6-test-corpus-26-train,KHA,ممكن تتكلم أعلى شوية، من فضلك؟,,ممكن تتكلم اعلى شوية، من فضلك؟
91,777,corpus-6-test-corpus-26-train,KHA,كم من الزمن ح يكون قبل يطلع؟,,كم من الزمن حيكون قبل يطلع؟
92,786,corpus-6-test-corpus-26-train,KHA,وين معلومات الرياضات؟,,وين معلومات الرياضات؟
93,787,corpus-6-test-corpus-26-train,KHA,المقاس دا هنا، الواحد المسميه مقاس منتظم، ح يعمل.,المقاس دا هنا، الواحد المسميه مقاس منتظم، بقضّي.,المقاس ده هنا، الواحد المسميه مقاس منتظم، بقضّي.
94,793,corpus-6-test-corpus-26-test,KHA,وين الجولة ح تنتهي، و متين؟,,وين الجولة حتنتهي، و متين؟
95,848,corpus-6-test-corpus-26-train,KHA,وين مفترض اغير القطار عشان اوصل ادينبيره؟,وين مفترض اغير القطرعشن اصل ادينبيره؟,وين مفترض اغير القطرعشن اصل ادينبيره؟
96,855,corpus-6-test-corpus-26-train,KHA,داير اخت دا في صندوق ايداع امن.,,داير اخت ده في صندوق ايداع امن.
97,859,corpus-6-test-corpus-26-train,KHA,وين ممكن أبدل قروش؟,,وين ممكن ابدل قروش؟
98,897,corpus-6-test-corpus-26-train,KHA,ممكن نخلي حاجاتتا، عدا القيمة، في البص؟,,ممكن نخلي حاجاتتا، عدا القيمة، في البص؟
99,902,corpus-6-test-corpus-26-train,KHA,محتار الرسوم دي في تلفوني لي شنو.,,محتار الرسوم دي في تلفوني لي شنو.
100,917,corpus-6-test-corpus-26-train,KHA,ح ادفع خمسين دولار.,,حادفع خمسين دولار.
101,941,corpus-6-test-corpus-26-train,KHA,الآن عرفت الكان غلط شنو.,,الآن عرفت الكان غلط شنو.
102,957,corpus-6-test-corpus-26-dev,KHA,انا ايكيدا. عندي حجز لطربيزة عند الساعة ستة و نص المساء دا. لكن انا آسف ح اوصل نص ساعة متأخر.,انا ايكيدا. عندي حجز لطربيزة الساعة ستة و نص الليلة. لكن انا آسف ح أجي نص ساعة متأخر.,انا ايكيدا. عندي حجز لطربيزة الساعة ستة و نص الليلة. لكن انا آسف حأجي نص ساعة متأخر.
103,1003,corpus-6-test-corpus-26-train,KHA,كم أوقية من العطر ممكن أحصل عليها بدون جمارك؟,كم اوقية من العطر ممكن اشيل بدون جمارك؟,كم اوقية من العطر ممكن أشيل بدون جمارك؟
104,1007,corpus-6-test-corpus-26-train,KHA,بس سياحة.,,بس سياحة.
105,1010,corpus-6-test-corpus-26-train,KHA,تمام. من فضلك وقعهم. دايرو كيف؟,,تمام. من فضلك وقعهم. دايره كيف؟
106,1023,corpus-6-test-corpus-26-test,KHA,هل ما زلت عندك؟,,هل ما زلت عندك؟
107,1036,corpus-6-test-corpus-26-train,KHA,داير واحد كبير.,,داير واحد كبير.
108,1037,corpus-6-test-corpus-26-dev,KHA,نمت خلال منبه الستة و نص.,,نمت خلال منبه الستة و نص.
109,1038,corpus-6-test-corpus-26-train,KHA,انا مصور حر.,,انا مصور حر.
110,1047,corpus-6-test-corpus-26-train,KHA,التجار ممكن يحاولوا دولاراتك إلى قطع الكازينو؟,التجار ممكن يحاولوا دولاراتك لي قطع الكازينو؟,التجار ممكن يحاولوا دولاراتك لي قطع الكازينو؟
111,1056,corpus-6-test-corpus-26-dev,KHA,عندنا حوالي تلاتين نوع من صابون الحمام.,,عندنا حوالي ثلاثين نوع من صابون الحمام.
112,1062,corpus-6-test-corpus-26-train,KHA,ح يكون عندي ليك الاقتراح الأسبوع الجاي.,,حيكون عندي ليك الاقتراح الأسبوع الجاي.
113,1074,corpus-6-test-corpus-26-train,KHA,شكرا ليك. كم سعر القفازات دي؟,,شكرا ليك. كم سعر القفازات دي؟
114,1098,corpus-6-test-corpus-26-train,KHA,على أن أمشي. ح اتصل بيك لاحقا.,لازم امشي. ح اضرب ليك بعدين.,لازم امشي. حأضرب ليك بعدين.
115,1100,corpus-6-test-corpus-26-train,KHA,داير بعض الحفاظات الممكن التخلص منها.,,داير بعض الحفاظات الممكن التخلص منها.
116,1122,corpus-6-test-corpus-26-train,KHA,من وين أصل سمك الفراشات ده؟,,من وين اصل سمك الفراشات ده؟
117,1124,corpus-6-test-corpus-26-train,KHA,ح تحولهم لي دولارات، من فضلك؟,,حتحولهم لي دولارات، من فضلك؟
118,1139,corpus-6-test-corpus-26-train,KHA,نحن محظوظين جدا. عندهم واحد مقاس أربعة في متجر ال ألا موانا.,,نحن محظوظين جدا. عندهم واحد مقاس اربعة في متجر الالا موانا.
119,1146,corpus-6-test-corpus-26-train,KHA,هل هنالك أي ليموزين؟,هل في اي ليموزين؟,هل في اي ليموزين؟
120,1163,corpus-6-test-corpus-26-dev,KHA,هل ممكن احصل على مكالمة إيقاظ عند خمسة و تلاتين بكرة الصباح؟,ممكن تضربو لي تصحوني  خمسة و نص بكرة الصباح؟,ممكن تضربوا لي تصحوني  خمسة و نص بكرة الصباح؟
121,1165,corpus-6-test-corpus-26-train,KHA,بفضل غرفة هادية.,,بفضل غرفة هادية.
122,1167,corpus-6-test-corpus-26-train,KHA,در بعض مزيل طلاء الأظافر.,داير مزيل منكير.,داير مزيل منكير.
123,1183,corpus-6-test-corpus-26-train,KHA,داير بطارية.,,داير بطارية.
124,1193,corpus-6-test-corpus-26-test,KHA,هل هناك فرقة لايف ول دي جي؟,هل في فرقة لايف ول دي جي؟,هل في فرقة لايف ولا دي جي؟
125,1194,corpus-6-test-corpus-26-train,KHA,هل يمكنني تأجير بعض معدات الغطس؟,هل ممكن اأجّر شوية معدات الغطس؟,هل ممكن اأجّر شوية معدات الغطس؟
126,1199,corpus-6-test-corpus-26-dev,KHA,داير احجز غرفة لأربعة ليالي من التاني والعشرين من ديسمبر.,داير احجز غرفة لي اربعة ليالي من اتنين وعشرين ديسمبر.,داير احجز غرفة لي اربعة ليالي من اثنين وعشرين ديسمبر.
127,1212,corpus-6-test-corpus-26-train,KHA,هل هذه الحقيبة مثالية لكل طقس؟,هل الشنطه دي بتناسب اي طقس؟,هل الشنطة دي بتناسب اي طقس؟
128,1213,corpus-6-test-corpus-26-train,KHA,داير دونات، من فضلك.,,داير دونات، من فضلك.
129,1218,corpus-6-test-corpus-26-train,KHA,داير أأجر عربية اوتوماتيك ليومين.,,داير اأجر عربية اوتوماتيك لي يومين.
130,1224,corpus-6-test-corpus-26-train,KHA,فوت الرحلة عشرين إلى سان فرانسيسكو.,فوت الرحلة عشرين لي سان فرانسيسكو.,فوت الرحلة عشرين لي سان فرانسيسكو.
131,1234,corpus-6-test-corpus-26-train,KHA,كم للمطار؟,,كم للمطار؟
132,1235,corpus-6-test-corpus-26-train,KHA,داك جيد. متين؟,داك كويس. متين؟,داك كويس. متين؟
133,1276,corpus-6-test-corpus-26-train,KHA,كم عمر بنتك؟,,كم عمر بنتك؟
134,1312,corpus-6-test-corpus-26-train,KHA,ممكن تكلمني ببعض الفنادق الرخيصة و النضيفة؟,ممكن توريني شوية من الفنادق الرخيصة و النضيفة؟,ممكن توريني شوية من الفنادق الرخيصة و النضيفة؟
135,1321,corpus-6-test-corpus-26-train,KHA,ممكن نحجز ليك غرفة مريحة في قصر قديم قرب نادي قولف مشهور.,ممكن نحجز ليك غرفة مريحة في قصر قديم جنب نادي قولف مشهور.,ممكن نحجز ليك غرفة مريحة في قصر قديم جنب نادي قولف مشهور.
136,1329,corpus-6-test-corpus-26-train,KHA,بزكي دا لأنه مصنوع من مية في المية مكونات طبيعية.,,بزكي دا لأنه مصنوع من مية في المية مكونات طبيعية.
137,1361,corpus-6-test-corpus-26-dev,KHA,هل يتوقف القطر في برايتون؟,هل القطر بيقف في برايتون؟,هل القطر بيقف في برايتون؟
138,1369,corpus-6-test-corpus-26-train,KHA,ممكن تكلمني وين ممكن ألقى تكسي؟,,ممكن تكلمني وين ممكن القى تكسي؟
139,1375,corpus-6-test-corpus-26-train,KHA,تزكرتين درجة ثانية، من فضلك.,,تزكرتين درجة ثانية، من فضلك.
140,1384,corpus-6-test-corpus-26-train,KHA,داير أرسل فاكس.,,داير ارسل فاكس.
141,1394,corpus-6-test-corpus-26-train,KHA,داير حديد ترحال.,,داير حديد ترحال.
142,1396,corpus-6-test-corpus-26-train,KHA,ممكن أقدم ليك أي حاجة؟,,ممكن اقدم ليك اي حاجة؟
143,1404,corpus-6-test-corpus-26-train,KHA,يومي؟ خايف اسأل، لكن قصدك شنو؟,,يومي؟ خايف اسأل، لكن قصدك شنو؟
144,1418,corpus-6-test-corpus-26-train,KHA,داير واحد داك ال ح يحفظ ملفات مقاس ورقة رسالة عادية بدون طيهم.,داير واحد داك ال ح يحفظ ملفات مقاس ورقة رسالة عادية بدون ما يطبقهم.,داير واحد داك الحيحفظ ملفات مقاس ورقة رسالة عادية بدون ما يطبقهم.
145,1433,corpus-6-test-corpus-26-test,KHA,أي، لكن ما قوي شديد.,,اي، لكن ما قوي شديد.
146,1434,corpus-6-test-corpus-26-train,KHA,اناحساس للقطط.,انا حساس للكدايس.,انا حساس للكدايس.
147,1436,corpus-6-test-corpus-26-train,KHA,اي، مفروض تملك رخصة قيادة و، اه، انت مفروض يكون عندك رخصة من لجنة التكسي و الليموزين.,,اي، مفروض تملك رخصة قيادة و، اه، انت مفروض يكون عندك رخصة من لجنة التكسي و الليموزين.
148,1462,corpus-6-test-corpus-26-train,KHA,واصل، يا سيدي.,,واصل، يا سيدي.
149,1465,corpus-6-test-corpus-26-test,KHA,م شكلي ح ألقى موية سخنة.,,ما شكلي حألقى موية سخنة.
150,1474,corpus-6-test-corpus-26-train,KHA,داير احجز غرفة لليلة.,,داير احجز غرفة لليلة.
151,1492,corpus-6-test-corpus-26-train,KHA,لا، استبعد الضرائب و مصاريف الخدمة.,,لا، استبعد الضرائب و مصاريف الخدمة.
152,1506,corpus-6-test-corpus-26-train,KHA,دائر تمشي معاي التسوق المساء دا؟,داير تمشي معاي تسوق الليلة؟,داير تمشي معاي تسوق الليلة؟
153,1508,corpus-6-test-corpus-26-test,KHA,هاي، دا حقيقة فستان جميل.,,هاي، ده حقيقة فستان جميل.
154,1519,corpus-6-test-corpus-26-train,KHA,الآن، مكالمتك اتقبلت . من فضلك اتفضل.,,الآن، مكالمتك اتقبلت . من فضلك اتفضل.
155,1525,corpus-6-test-corpus-26-train,KHA,كم رقم البوابة؟,,كم رقم البوابة؟
156,1539,corpus-6-test-corpus-26-train,KHA,شنو مطابق تزكار هاوايوان؟,,شنو مطابق تزكار هاوايوان؟
157,1556,corpus-6-test-corpus-26-train,KHA,ممكن اصل هناك بالنفق؟,,ممكن اصل هناك بالنفق؟
158,1560,corpus-6-test-corpus-26-train,KHA,داير مجفف شعر.,,داير مجفف شعر.
159,1562,corpus-6-test-corpus-26-train,KHA,هل ح نوصل اي مكان نتكلم كدا؟,هل ح نصل اي حتى اذا اتكلمنا كدا؟,هل حنصل اي حتّى اذا اتكلمنا كده؟
160,1585,corpus-6-test-corpus-26-train,KHA,انا جيت من النرويج.,,انا جيت من النرويج.
161,1603,corpus-6-test-corpus-26-dev,KHA,من عشرة لي حداشر من فضلك.,,من عشرة لي حدعشر من فضلك.
162,1619,corpus-6-test-corpus-26-train,KHA,بالتأكيد. خليني أشوفه. انت اتجرحت بالمهرجان، افترض.,بالتأكيد. خليني اشوفه. انت اتجرحت بالمهرجان، بفترض.,بالتأكيد. خليني اشوفه. انت اتجرحت بالمهرجان، افترض.
163,1620,corpus-6-test-corpus-26-train,KHA,احتياط، خليني اخد رقم الزول المسؤول.,احتياطيا، خليني اخد رقم الزول المسؤول.,احتياطيا، خليني اخد رقم الزول المسؤول.
164,1622,corpus-6-test-corpus-26-train,KHA,هل هناك طريق سريع؟,هل في طريق سريع؟,هل في طريق سريع؟
165,1630,corpus-6-test-corpus-26-train,KHA,لي ما جاء الحفلة امبارح؟,,ليه ما جا الحفلة امبارح؟
166,1637,corpus-6-test-corpus-26-train,KHA,هناك كان في حادث مروري.,كان في حادث مرور.,كان في حادث مرور.
167,1650,corpus-6-test-corpus-26-train,KHA,سوري، عندي الرقم الغلط.,,سوري، عندي الرقم الغلط.
168,1653,corpus-6-test-corpus-26-test,KHA,من فضلك ادخلك بي آي ان الخاص بك.,من فضلك دخل ال بي آي ان بتاعك.,من فضلك دخل ال بي آي ان بتاعك.
169,1663,corpus-6-test-corpus-26-dev,KHA,م قادر أعدل الصورة.,,ما قادر اعدل الصورة.
170,1668,corpus-6-test-corpus-26-train,KHA,واحد بيرقر جبنة و عصير برتقال، من فضلك.,,واحد بيرقر جبنة و عصير برتقال، من فضلك.
171,1670,corpus-6-test-corpus-26-test,KHA,دا جوازي.,,دا جوازي.
172,1682,corpus-6-test-corpus-26-test,KHA,لي، شكرا ليك كتير. اه، هل يمكنني أمشي فوق للقمة؟,لي؟ شكرا ليك كتير. اه، هل ممكن امشي فوق للقمة؟,ليه؟ شكرا ليك كثير. اه، هل ممكن امشي فوق للقمة؟
173,1702,corpus-6-test-corpus-26-train,KHA,ممكن اخد الكروية للموسيقى الجمعة الجاية؟,,ممكن اخد الكروية للموسيقى الجمعة الجاية؟
174,1718,corpus-6-test-corpus-26-train,KHA,راكب تاني هناك قال يمكنهم يبدلوا المقاعد معاك.,راكب تاني هناك قال ممكن يبدل معاك المقعد.,راكب ثاني هناك قال ممكن يبدل معاك المقعد.
175,1754,corpus-6-test-corpus-26-train,KHA,ممكن امدد إقامتي؟,,ممكن امدد اقامتي؟
176,1766,corpus-6-test-corpus-26-train,KHA,قول. بتعرف أي حاجة بتستحق النظر قريب هنا؟,بتعرف اي حاجة بتستحق تتشاف قريب من هنا؟,بتعرف اي حاجة بتستحق تتشاف قريب من هنا؟
