,sent,CODA,prep
75,هل ح تملى الفورمة دي,هل حتملى الفورمة دي,هل حتملى الفورمة دي
76,حسب تقرير الطقس ح تثلج بكرة,حسب تقرير الطقس حتثلج بكرة,حسب تقرير الطقس حتثلج بكرة
77,هي كتاب هزلي ماليزي ح اشتري واحد عشان اشيله البيت كقطعة محادثة,هي كتاب هزلي ماليزي حاشتري واحد عشان اشيله البيت كقطعة محادثة,هي كتاب هزلي ماليزي حاشتري واحد عشان اشيله البيت كقطعة محادثة
78,نعم حصل ح اوريك شوية,نعم حصل حاوريك شوية,نعم حصل حاوريك شوية
79,ح اكون هنا لحدي يوم تسعة بتمنى تقبض المجرمين باسرع سرعة,حاكون هنا لحدي يوم تسعة بتمنى تقبض المجرمين باسرع سرعة,حاكون هنا لحدي يوم تسعة بتمنى تقبض المجرمين باسرع سرعة
80,داك ح يكون كاش ول شحن,داك حيكون كاش ولا شحن,داك حيكون كاش ولا شحن
81,ح اعمل بمهما يكون عندك,حاعمل بمهما يكون عندك,حاعمل بمهما يكون عندك
82,انا آسف كلهم اتباعوا لكن ح يكونوا عندنا بعد ايام قليلة,انا آسف كلهم اتباعوا لكن حيكونوا عندنا بعد ايام قليلة,انا آسف كلهم اتباعوا لكن حيكونوا عندنا بعد ايام قليلة
83,الو اسمي اودا عندي حجز لليلة لكن ح اكون متأخر شوية في الدخول عشان كدا احفظ حجزي,الو اسمي اودا عندي حجز لليلة لكن حاكون متأخر شوية في الدخول عشان كده احفظ حجزي,الو اسمي اودا عندي حجز لليلة لكن حاكون متأخر شوية في الدخول عشان كده احفظ حجزي
84,طيب ما عارف لسة لكن اكيد ح احاول,طيب ما عارف لسا لكن اكيد حاحاول,طيب ما عارف لسة لكن اكيد حاحاول
85,ح نجيبه اسي كم رقم غرفتك,حنجيبه اسي كم رقم غرفتك,حنجيبه اسي كم رقم غرفتك
86,ح اقعد مع صاحب,حاقعد مع صاحب,حاقعد مع صاحب
87,تمارين كتيرة شديد ح تاذيك,تمارين كثيرة شديد حتاذيك,تمارين كتيرة شديد حتاذيك
88,متضمن الفطور ضرائب و رسوم خدمة ح تكون خمسة وأربعين دولار للنفر الواحد,متضمن الفطور ضرائب و رسوم خدمة حتكون خمسة وأربعين دولار للنفر الواحد,متضمن الفطور ضرايب و رسوم خدمة حتكون خمسة وأربعين دولار للنفر الواحد
89,ناس بسيطين بس ح يكونوا في الجولة الاختيارية,ناس بسيطين بس حيكونوا في الجولة الاختيارية,ناس بسيطين بس حيكونوا في الجولة الاختيارية
90,ما يهمك على اي حال من فضلك وديني للمركز بتاع شايناتاون ح احاول القاه براي,ما يهمك على اي حال من فضلك وديني للمركز بتاع شايناتاون حاحاول القاه براي,ما يهمك على اي حال من فضلك وديني للمركز بتاع شايناتاون حاحاول القاه براي
91,ح نشوفك بكرة,حنشوفك بكرة,حنشوفك بكرة
92,ح توريني اضبطوا كيف,حتوريني اضبطوا كيف,حتوريني اضبطوا كيف
93,ح نصل لي لوس انجلوس متين,حنصل لي لوس انجلوس متين,حنصل لي لوس انجلوس متين
94,عشرين عينة اضافية ح يرسلوا ليك,عشرين عينة اضافية حيرسلوا ليك,عشرين عينة اضافية حيرسلوا ليك
95,ايوة اعتقد اني ح انتظر,ايوة اعتقد اني حانتظر,ايوة اعتقد اني حانتظر
96,ح انتظر لحدي ما الشرفة تفضى,حانتظر لحدي ما الشرفة تفضى,حانتظر لحدي ما الشرفة تفضى
97,هي ح تكون في البيت حوالي تلاتة,هي حتكون في البيت حوالي ثلاثة,هي حتكون في البيت حوالي تلاتة
98,نحن ح ننط من هنا,نحن حننط من هنا,نحن حننط من هنا
99,بالتأكيد امشي بالسلالم تحت هناك و ح تشوف بعض التعليمات بس تابعهم,بالتأكيد امشي بالسلالم تحت هناك و حتشوف بعض التعليمات بس تابعهم,بالتأكيد امشي بالسلالم تحت هناك و حتشوف بعض التعليمات بس تابعهم
100,اوكي ح اخد فقط دقيقتين شكرا ليك,اوكي حاخد فقط دقيقتين شكرا ليك,اوكي حاخد فقط دقيقتين شكرا ليك
101,الكورة ح تبدأ متين,الكورة حتبدا متين,الكورة حتبدأ متين
102,فساتين قصيرة مع بوت ما ح تطلع برة الموضة ابدا,فساتين قصيرة مع بوت ما حتطلع برة الموضة ابدا,فساتين قصيرة مع بوت ما حتطلع برة الموضة ابدا
103,ح ننتظر من فضلك كلمنا لم تجهز,حننتظر من فضلك كلمنا لم تجهز,حننتظر من فضلك كلمنا لم تجهز
104,ميثاق ثانوي ح يكون احسن,ميثاق ثانوي حيكون أحسن,ميثاق ثانوي حيكون احسن
105,متين بتعتقد ح يتلقي,متين بتعتقد حيتلقي,متين بتعتقد حيتلقي
106,ح يكون عندي اسبرايت كبير,حيكون عندي اسبرايت كبير,حيكون عندي اسبرايت كبير
107,امشي دغري بالهول دا و لف شمال في الكورنة ح تشوفه في يمينك,امشي دغري بالهول ده و لف شمال في الكورنة حتشوفه في يمينك,امشي دغري بالهول ده و لف شمال في الكورنة حتشوفه في يمينك
108,ح اجيب واحد اسي,حاجيب واحد اسي,حاجيب واحد اسي
109,شوف دا شوف دا انت ح تقولي الفرق بين الشاب دا و الشاب داك في الحظ محمد اقيف ح تقيف انت ما بتمانع اذا نزلتك هنا انا متأخر صديق جميل ان لاقيتك اوكي,شوف دا شوف دا انت حتقولي الفرق بين الشاب دا و الشاب داك في الحظ محمد اقيف حتقيف انت ما بتمانع اذا نزلتك هنا انا متأخر صديق جميل ان لاقيتك اوكي,شوف ده شوف ده انت حتقولي الفرق بين الشاب ده و الشاب داك في الحظ محمد اقيف حتقيف انت ما بتمانع اذا نزلتك هنا انا متأخر صديق جميل ان لاقيتك اوكي
110,ح اخد قزازة خمرة,حاخد قزازة خمرة,حاخد قزازة خمرة
111,ح اخد الوجبة الثابتة دي,حاخد الوجبة الثابتة دي,حاخد الوجبة الثابتة دي
112,بعدين ح نشيله,بعدين حنشيله,بعدين حنشيله
113,داير الفلم دا يتطور متين ح يكون جاهز,داير الفلم ده يتطور متين حيكون جاهز,داير الفلم ده يتطور متين حيكون جاهز
114,اوكي ح ارفعك من فندقك الساعة تمنية,اوكي حارفعك من فندقك الساعة ثمانية,اوكي حارفعك من فندقك الساعة تمنية
115,كله تمام ح آخدك هناك,كله تمام حاخدك هناك,كله تمام حآخدك هناك
116,اذا اشتريت دا برضه ح يعمل القيمة المعفاة من الضرائب,اذا اشتريت ده برضو حيعمل القيمة المعفاة من الضرائب,اذا اشتريت ده برضه حيعمل القيمة المعفاة من الضرايب
117,اذا هو فقط خمسين دقيقة من المحطة اذا ح امشي,اذا هو فقط خمسين دقيقة من المحطة اذا حامشي,اذا هو فقط خمسين دقيقة من المحطة اذا حامشي
118,ح اقفل الآن شكرا ليك لانتباهك,حاقفل الآن شكرا ليك لانتباهك,حاقفل الآن شكرا ليك لانتباهك
119,كلو تمام ح تاخد قهوتك اسى ولا بعدين,كلو تمام حتاخد قهوتك اسى ولا بعدين,كلو تمام حتاخد قهوتك اسى ولا بعدين
120,نعم واحد بس متين ح اعرف كيف ح اكون اتعوضت,نعم واحد بس متين حاعرف كيف حاكون اتعوضت,نعم واحد بس متين حاعرف كيف حاكون اتعوضت
121,انا ح ابقى سمين اذا بس قاعد هنا باكل باستمرار,انا حابقى سمين اذا بس قاعد هنا باكل باستمرار,انا حابقى سمين اذا بس قاعد هنا باكل باستمرار
122,اوكي كل الداير اعرفه اذا كان الشغل ح يدفع مصاريفه,اوكي كل الداير اعرفه اذا كان الشغل حيدفع مصاريفه,اوكي كل الداير اعرفه اذا كان الشغل حيدفع مصاريفه
123,امي و اختي جايين من اليابان عشان يشوفوني  ح يصلوا حوالي سبعة في المساء,امي و اختي جايين من اليابان عشان يشوفوني  حيصلوا حوالي سبعة في المساء,امي و اختي جايين من اليابان عشان يشوفوني حيصلوا حوالي سبعة في المسا
124,واصل المشي في الممر دا ثم ح تلقاه على الجانب اليمين,واصل المشي في الممر ده ثم حتلقاه على الجانب اليمين,واصل المشي في الممر ده ثم حتلقاه على الجانب اليمين
