,sent,CODA,prep
84,برضه,برضو,برضه
85,برضة,برضو,برضة
86,هندا,هنده,هندا
87,دا,ده,ده
88,حادث,الحادث,حادث
89,اطول,أطول,اطول
90,مع,في,مع
91,احسن,أحسن,احسن
92,اشرب,أشرب,اشرب
93,دا,ده,ده
94,بره,برة,بره
95,التاني,الثاني,التاني
96,اعزرني,اعذرني,اعزرني
97,اتنين,اثنين,اتنين
98,ول,ولا,ولا
99,اراجع,أراجع,اراجع
100,خمستاشر,خمستعشر,خمستاشر
101,بالكتير,بالكثير,بالكتير
102,تحول,بتحول,تحول
103,ستاشر,ستعشر,ستاشر
104,حداشر,حدعشر,حداشر
105,رأس,راس,رأس
106,ول,ولا,ولا
107,اتنين,اثنين,اتنين
108,وتلاتين,وثلاثين,وتلاتين
109,دا,ده,ده
110,في,هناك,في
111,تانيه,تانية,تانيه
112,جرى,جري,جرى
113,دا,ده,ده
114,دا,ده,ده
115,تمنية,ثمانية,تمنية
116,ماشى,ماشي,ماشى
117,دا,ده,ده
118,دا,ده,ده
119,في,هناك,في
120,الفكه,الفكة,الفكه
121,اوبرت,اوبرة,اوبرت
122,لسة,لسا,لسة
123,دا,ده,ده
124,برضه,برضو,برضه
125,تانية,ثانية,تانية
126,تانية,ثانية,تانية
127,الشئ,الشي,الشي
128,اتناشر,اثنعشر,اتناشر
129,لسة,لسا,لسة
130,لوا,لوى,لوا
131,تايلندية,ثايلندية,تايلندية
132,كدا,كده,كده
133,دا,ده,ده
134,دا,ده,ده
135,مشروباتو,مشروباته,مشروباتو
136,دا,ده,ده
137,رأس,راس,رأس
138,الجائزة,الجايزة,الجايزة
139,لي,ليه,لي
140,الى,لي,لي
141,اكتر,اكثر,اكتر
142,تانية,ثانية,تانية
143,كلو,كله,كلو
144,كدا,كده,كده
145,ول,ولا,ولا
146,لا,لأ,لا
147,دا,ده,ده
148,شكلو,شكله,شكلو
149,بي,مع,بي
150,كتيرة,كثيرة,كتيرة
151,ول,ولا,ولا
152,لا,لأ,لا
153,تاني,ثاني,تاني
154,لسة,لسا,لسة
155,تلاتة,ثلاثة,تلاتة
156,لا,لأ,لا
157,لسة,لسا,لسة
158,التاني,الثاني,التاني
159,دا,ده,ده
160,دا,ده,ده
161,دائما,دايما,دايما
162,لا,لأ,لا
163,تلاتة,ثلاثة,تلاتة
164,تلتمية,ثلثمية,تلتمية
165,تانية,ثانية,تانية
166,دا,ده,ده
167,دا,ده,ده
168,المئة,المية,المية
169,وتمانين,وثمانين,وتمانين
170,تاني,ثاني,تاني
171,دا,ده,ده
172,دا,ده,ده
173,التالتة,الثالثة,التالتة
174,دا,ده,ده
175,تمنية,ثمانية,تمنية
176,وتلاتين,وثلاثين,وتلاتين
177,وتلاتين,وثلاثين,وتلاتين
178,ريحتو,ريحته,ريحتو
179,اكتر,اكثر,اكتر
180,دا,ده,ده
181,شكلو,شكله,شكلو
182,المعيشه,المعيشة,المعيشه
183,فيهو,فيه,فيهو
184,ول,ولا,ولا
185,لا,لأ,لا
186,تمانية,ثمانية,تمانية
187,كدا,كده,كده
188,اسى,اسي,اسى
189,اتنين,اثنين,اتنين
190,دا,ده,ده
191,برضه,برضو,برضه
192,تاني,ثاني,تاني
193,دا,ده,ده
194,دا,ده,ده
195,مئة,مية,مية
196,المئة,المية,المية
197,دا,ده,ده
198,اي,أي,اي
199,التاني,الثاني,التاني
200,تلاتة,ثلاثة,تلاتة
201,مئة,مية,مية
202,دا,ده,ده
203,موسيقي,موسيقى,موسيقي
204,قدام,امام,قدام
205,اكتر,اكثر,اكتر
206,تلاتة,ثلاثة,تلاتة
207,دا,ده,ده
208,وتمنين,وثمانين,وتمنين
209,للتلج,للثلج,للتلج
210,دا,ده,ده
211,دا,ده,ده
212,دا,ده,ده
213,القي,القى,القي
214,دا,ده,ده
215,نضيفة,نظيفة,نضيفة
216,الى,لي,لي
217,لاتنين,لاثنين,لاتنين
218,تلاتة,ثلاثة,تلاتة
219,دا,ده,ده
220,اتنين,اثنين,اتنين
221,لي,الى,لي
222,الزائد,الزايد,الزايد
223,الغى,الغي,الغى
224,تلاتين,ثلاثين,تلاتين
225,تاني,ثاني,تاني
226,نضيفة,نظيفة,نضيفة
227,تانية,ثانية,تانية
228,دا,ده,ده
229,دا,ده,ده
230,دا,ده,ده
231,اتنين,اثنين,اتنين
232,دا,ده,ده
233,ان,انو,ان
234,ماشى,ماشي,ماشى
235,دائما,دايما,دايما
236,تانية,ثانية,تانية
237,اتنين,اثنين,اتنين
238,لسة,لسا,لسة
239,اتنين,اثنين,اتنين
240,اتنين,اثنين,اتنين
241,تلاتة,ثلاثة,تلاتة
242,انتو,انتم,انتو
243,دا,ده,ده
244,السفر,مسافر,السفر
245,مضيفه,مضيفة,مضيفه
246,تمنية,ثمانية,تمنية
247,دا,ده,ده
248,اسى,اسي,اسى
249,تملى,تملي,تملى
250,التاني,الثاني,التاني
251,حداشر,حدعشر,حداشر
252,حداشر,حدعشر,حداشر
253,دا,ده,ده
254,ول,ولا,ولا
255,دا,ده,ده
256,تلاتة,ثلاثة,تلاتة
257,اتنين,اثنين,اتنين
258,اتنين,اثنين,اتنين
259,تمنية,ثمانية,تمنية
260,لي,الى,لي
261,دا,ده,ده
262,اكتر,اكثر,اكتر
263,تانية,ثانية,تانية
264,ماشى,ماشي,ماشى
265,الغى,الغي,الغى
266,دا,ده,ده
267,لانى,لاني,لانى
268,اتنين,اثنين,اتنين
269,وتمانين,وثمانين,وتمانين
270,تاني,ثاني,تاني
271,تلاتة,ثلاثة,تلاتة
272,اتنين,اثنين,اتنين
273,تلاتة,ثلاثة,تلاتة
274,تلاتة,ثلاثة,تلاتة
275,اعزرني,اعذرني,اعزرني
276,دا,ده,ده
277,دا,ده,ده
278,دا,ده,ده
279,اتنين,اثنين,اتنين
280,على,علي,على
281,خمستاشر,خمستعشر,خمستاشر
282,دا,ده,ده
283,دا,ده,ده
284,تمنية,ثمانية,تمنية
285,دا,ده,ده
286,كتير,كثير,كتير
287,تلاتة,ثلاثة,تلاتة
288,دا,ده,ده
289,التاني,الثاني,التاني
290,دا,ده,ده
291,دا,ده,ده
292,اتنين,اثنين,اتنين
293,دا,ده,ده
294,دا,ده,ده
295,دا,ده,ده
296,عندى,عندي,عندى
297,تلاتة,ثلاثة,تلاتة
298,تاني,ثاني,تاني
299,تانية,ثانية,تانية
300,اتناشر,اتنعشر,اتناشر
301,العشاء,العشا,العشا
302,دائما,دايما,دايما
303,تلتمية,ثلثمية,تلتمية
304,ليلى,ليلي,ليلى
305,ول,ولا,ولا
306,اخطاء,أخطاء,اخطا
307,تلاتة-اتنين-واحد-اتنين,ثلاثة-اثنين-واحد-اثنين,تلاتة-اتنين-واحد-اتنين
308,مئة,مية,مية
309,وتلاتين,وثلاثين,وتلاتين
310,لي,ليه,لي
311,دا,ده,ده
312,التاني,الثاني,التاني
313,سواء,سوا,سوا
314,تاني,ثاني,تاني
315,دا,ده,ده
316,تلاتة,ثلاثة,تلاتة
317,كتيرة,كثيرة,كتيرة
318,تلاتة,ثلاثة,تلاتة
319,تلاتة,ثلاثة,تلاتة
320,تلاتة,ثلاثة,تلاتة
321,دا,ده,ده
322,ول,ولا,ولا
323,لا,لأ,لا
324,دا,ده,ده
325,تلاتة,ثلاثة,تلاتة
326,بتاعت,بتاعة,بتاعت
327,تلاتة,ثلاثة,تلاتة
328,ول,ولا,ولا
329,بجنوا,دخلهم,بجنوا
330,طلعتو,طلعته,طلعتو
331,تمنية,ثمانية,تمنية
332,اسى,اسي,اسى
333,يملأ,يملا,يملأ
334,التاني,الثاني,التاني
335,دائرين,دايرين,دايرين
336,كدا,كده,كده
337,دا,ده,ده
338,دا,ده,ده
339,دا,ده,ده
340,دا,ده,ده
341,ول,ولا,ولا
342,تلات,ثلاث,تلات
343,ول,ولا,ولا
344,تلاتين,ثلاثين,تلاتين
345,تانية,ثانية,تانية
346,دا,ده,ده
347,اكتر,اكثر,اكتر
348,اكتر,اكثر,اكتر
349,دا,ده,ده
350,تاني,ثاني,تاني
351,كتير,كثير,كتير
352,لسة,لسا,لسة
353,اكتر,اكثر,اكتر
354,اكتر,اكثر,اكتر
355,سجائر,سجاير,سجاير
356,هندا,هنده,هندا
357,دا,ده,ده
358,تلاتة,ثلاثة,تلاتة
359,تلاتة,ثلاثة,تلاتة
360,اتنين,اثنين,اتنين
361,اتنين,اثنين,اتنين
362,انى,اني,انى
363,ليلى,ليلي,ليلى
364,عندو,عنده,عندو
365,كلو,كله,كلو
366,اسى,اسي,اسى
367,دا,ده,ده
368,سجائر,سجاير,سجاير
369,دا,ده,ده
370,ملساء,ملسا,ملسا
371,دا,ده,ده
372,اتنين,اثنين,اتنين
373,لسة,لسا,لسة
374,تملأ,تملا,تملأ
375,دا,ده,ده
376,دا,ده,ده
377,دا,ده,ده
378,الاتنين,الاثنين,الاتنين
379,تلاتة,ثلاتة,تلاتة
380,اتنين,اثنين,اتنين
381,اتنين,اثنين,اتنين
382,تمنية,ثمانية,تمنية
