,sent,CODA
56,الكرت دا تمام,الكرت ده تمام
57,دا مكتب الاستقبال في عيادة قريبة,ده مكتب الاستقبال في عيادة قريبة
58,هل عشرة دولارات كفاية للتكسي,هل عشرة دولارات كفاية للتكسي
59,دا طعموا غريب,ده طعموا غريب
60,اي انتظر بجيب ليك واحد,اي انتظر بجيب ليك واحد
61,نص قارورة من فضلك,نص قارورة من فضلك
62,ما حقيقة بس حاجة ما غالية,ما حقيقة بس حاجة ما غالية
63,بتفتش لحاجة,بتفتش لي حاجة
64,اربعة ليالي,اربعة ليالي
65,داير بعض الشرابات,داير بعض الشرابات
66,ممكن تخليه ارخص عشن في شوية بقع,ممكن تخليه ارخص عشن في شوية بقع
67,زول صدمني بعد داك لاحظت انو محفظتي راحت,زول صدمني بعد داك لاحظت انو محفظتي راحت
68,انا ما متأكد اذا ستفت هدوم كافية لي رحلة تلاته اسابيع,انا ما متأكد اذا ستفت هدوم كافية لي رحلة ثلاثة اسابيع
69,طيب دايرين نجرب خمرة بيضاء,طيب دايرين نجرب خمرة بيضاء
70,اذا في زول سأل عني كلمهم اني في المقهى,اذا في زول سأل عني كلمهم اني في المقهى
71,متأكد انه عندي في الجيب الداخلي بتاع الجاكيت بتاعي,متأكد انو عندي في الجيب الداخلي بتاع الجاكيت بتاعي
72,ممكن اعرف الاسم و الرقم بتاع الزول الانت ضارب ليه,ممكن اعرف الاسم و الرقم بتاع الزول الانت ضارب ليه
73,هل الخطوط الجوية ح تدفع لي عشان اشتري بعض الضروريات الشخصية,هل الخطوط الجوية حتدفع لي عشان اشتري بعض الضروريات الشخصية
74,داير لي غرفة بحمام,داير لي غرفة بي حمام
75,ما في حاجة جات طالعة من الآلة,ما في حاجة جات طالعة من الآلة
76,كان مفترض تاخد الرحلة تمانية اتنين صفر الأقلعت قبل خمستاشر دقيقة كلو تمام ممكن انظم رحلة ثانية,كان مفترض تاخد الرحلة ثمانية اثنين صفر الأقلعت قبل خمستعشر دقيقة كلو تمام ممكن انظم رحلة ثانية
77,زول فك حزمتي,زول فك حزمتي
78,اوه ولا حاجة انت هنا على كل حال,اوه ولا حاجة انت هنا على كل حال
79,الخطوط الجوية اليابانية رحلة رقم واحد اتنين تلاتة,الخطوط الجوية اليابانية رحلة رقم واحد اثنين ثلاثة
80,محتاج اشتري شامبوه,محتاج اشتري شامبوه
81,ممكن تكلمني لم نصل الي مركز مدني,ممكن تكلمني لم نصل لي مركز مدني
82,وين اقرب جزار,وين اقرب جزار
83,دايرين نقعد اربعة ليالي من الأول من اغسطس,دايرين نقعد اربعة ليالي من الأول من اغسطس
84,اسم الزهرة ديك شنو,اسم الزهرة ديك شنو
85,خمستاشر سبتمبر هو يوم احترام للمسنين,خمستعشر سبتمبر هو يوم احترام للمسنين
86,ما في صابون في غرفتي,مافي صابون في غرفتي
87,هل في اي شي ممكن اخده للطفح دا,هل في اي شي ممكن اخده للطفح ده
88,ممكن تغير صيغة الي القلته هسا,ممكن تغير صيغة الي القلته هسا
89,ح تستغرق كم للطلب,حتستغرق كم للطلب
90,ممكن تتكلم اعلى شوية من فضلك,ممكن تتكلم اعلى شوية من فضلك
91,كم من الزمن ح يكون قبل يطلع,كم من الزمن حيكون قبل يطلع
92,وين معلومات الرياضات,وين معلومات الرياضات
93,المقاس دا هنا الواحد المسميه مقاس منتظم بقضّي,المقاس ده هنا الواحد المسميه مقاس منتظم بقضّي
94,وين الجولة ح تنتهي و متين,وين الجولة حتنتهي و متين
95,وين مفترض اغير القطرعشن اصل ادينبيره,وين مفترض اغير القطرعشن اصل ادينبيره
96,داير اخت دا في صندوق ايداع امن,داير اخت ده في صندوق ايداع امن
97,وين ممكن ابدل قروش,وين ممكن ابدل قروش
98,ممكن نخلي حاجاتتا عدا القيمة في البص,ممكن نخلي حاجاتتا عدا القيمة في البص
99,محتار الرسوم دي في تلفوني لي شنو,محتار الرسوم دي في تلفوني لي شنو
100,ح ادفع خمسين دولار,حادفع خمسين دولار
101,الآن عرفت الكان غلط شنو,الآن عرفت الكان غلط شنو
102,انا ايكيدا عندي حجز لطربيزة الساعة ستة و نص الليلة لكن انا آسف ح اجي نص ساعة متأخر,انا ايكيدا عندي حجز لطربيزة الساعة ستة و نص الليلة لكن انا آسف حأجي نص ساعة متأخر
103,كم اوقية من العطر ممكن اشيل بدون جمارك,كم اوقية من العطر ممكن أشيل بدون جمارك
104,بس سياحة,بس سياحة
105,تمام من فضلك وقعهم دايرو كيف,تمام من فضلك وقعهم دايره كيف
106,هل ما زلت عندك,هل ما زلت عندك
107,داير واحد كبير,داير واحد كبير
108,نمت خلال منبه الستة و نص,نمت خلال منبه الستة و نص
109,انا مصور حر,انا مصور حر
110,التجار ممكن يحاولوا دولاراتك لي قطع الكازينو,التجار ممكن يحاولوا دولاراتك لي قطع الكازينو
111,عندنا حوالي تلاتين نوع من صابون الحمام,عندنا حوالي ثلاثين نوع من صابون الحمام
112,ح يكون عندي ليك الاقتراح الأسبوع الجاي,حيكون عندي ليك الاقتراح الأسبوع الجاي
113,شكرا ليك كم سعر القفازات دي,شكرا ليك كم سعر القفازات دي
114,لازم امشي ح اضرب ليك بعدين,لازم امشي حأضرب ليك بعدين
115,داير بعض الحفاظات الممكن التخلص منها,داير بعض الحفاظات الممكن التخلص منها
116,من وين اصل سمك الفراشات ده,من وين اصل سمك الفراشات ده
117,ح تحولهم لي دولارات من فضلك,حتحولهم لي دولارات من فضلك
118,نحن محظوظين جدا عندهم واحد مقاس اربعة في متجر ال الا موانا,نحن محظوظين جدا عندهم واحد مقاس اربعة في متجر الالا موانا
119,هل في اي ليموزين,هل في اي ليموزين
120,ممكن تضربو لي تصحوني خمسة و نص بكرة الصباح,ممكن تضربوا لي تصحوني  خمسة و نص بكرة الصباح
121,بفضل غرفة هادية,بفضل غرفة هادية
122,داير مزيل منكير,داير مزيل منكير
123,داير بطارية,داير بطارية
124,هل في فرقة لايف ول دي جي,هل في فرقة لايف ولا دي جي
125,هل ممكن اأجّر شوية معدات الغطس,هل ممكن اأجّر شوية معدات الغطس
126,داير احجز غرفة لي اربعة ليالي من اتنين وعشرين ديسمبر,داير احجز غرفة لي اربعة ليالي من اثنين وعشرين ديسمبر
127,هل الشنطه دي بتناسب اي طقس,هل الشنطة دي بتناسب اي طقس
128,داير دونات من فضلك,داير دونات من فضلك
129,داير اأجر عربية اوتوماتيك ليومين,داير اأجر عربية اوتوماتيك لي يومين
130,فوت الرحلة عشرين لي سان فرانسيسكو,فوت الرحلة عشرين لي سان فرانسيسكو
131,كم للمطار,كم للمطار
132,داك كويس متين,داك كويس متين
133,كم عمر بنتك,كم عمر بنتك
134,ممكن توريني شوية من الفنادق الرخيصة و النضيفة,ممكن توريني شوية من الفنادق الرخيصة و النضيفة
135,ممكن نحجز ليك غرفة مريحة في قصر قديم جنب نادي قولف مشهور,ممكن نحجز ليك غرفة مريحة في قصر قديم جنب نادي قولف مشهور
136,بزكي دا لأنه مصنوع من مية في المية مكونات طبيعية,بزكي دا لأنه مصنوع من مية في المية مكونات طبيعية
137,هل القطر بيقف في برايتون,هل القطر بيقف في برايتون
138,ممكن تكلمني وين ممكن القى تكسي,ممكن تكلمني وين ممكن القى تكسي
139,تزكرتين درجة ثانية من فضلك,تزكرتين درجة ثانية من فضلك
140,داير ارسل فاكس,داير ارسل فاكس
141,داير حديد ترحال,داير حديد ترحال
142,ممكن اقدم ليك اي حاجة,ممكن اقدم ليك اي حاجة
143,يومي خايف اسأل لكن قصدك شنو,يومي خايف اسأل لكن قصدك شنو
144,داير واحد داك ال ح يحفظ ملفات مقاس ورقة رسالة عادية بدون ما يطبقهم,داير واحد داك الحيحفظ ملفات مقاس ورقة رسالة عادية بدون ما يطبقهم
145,اي لكن ما قوي شديد,اي لكن ما قوي شديد
146,انا حساس للكدايس,انا حساس للكدايس
147,اي مفروض تملك رخصة قيادة و اه انت مفروض يكون عندك رخصة من لجنة التكسي و الليموزين,اي مفروض تملك رخصة قيادة و اه انت مفروض يكون عندك رخصة من لجنة التكسي و الليموزين
148,واصل يا سيدي,واصل يا سيدي
149,م شكلي ح القى موية سخنة,ما شكلي حألقى موية سخنة
150,داير احجز غرفة لليلة,داير احجز غرفة لليلة
151,لا استبعد الضرائب و مصاريف الخدمة,لا استبعد الضرائب و مصاريف الخدمة
152,داير تمشي معاي تسوق الليلة,داير تمشي معاي تسوق الليلة
153,هاي دا حقيقة فستان جميل,هاي ده حقيقة فستان جميل
154,الآن مكالمتك اتقبلت  من فضلك اتفضل,الآن مكالمتك اتقبلت  من فضلك اتفضل
155,كم رقم البوابة,كم رقم البوابة
156,شنو مطابق تزكار هاوايوان,شنو مطابق تزكار هاوايوان
157,ممكن اصل هناك بالنفق,ممكن اصل هناك بالنفق
158,داير مجفف شعر,داير مجفف شعر
159,هل ح نصل اي حتى اذا اتكلمنا كدا,هل حنصل اي حتّى اذا اتكلمنا كده
160,انا جيت من النرويج,انا جيت من النرويج
161,من عشرة لي حداشر من فضلك,من عشرة لي حدعشر من فضلك
162,بالتأكيد خليني اشوفه انت اتجرحت بالمهرجان بفترض,بالتأكيد خليني اشوفه انت اتجرحت بالمهرجان افترض
163,احتياطيا خليني اخد رقم الزول المسؤول,احتياطيا خليني اخد رقم الزول المسؤول
164,هل في طريق سريع,هل في طريق سريع
165,لي ما جاء الحفلة امبارح,ليه ما جا الحفلة امبارح
166,كان في حادث مرور,كان في حادث مرور
167,سوري عندي الرقم الغلط,سوري عندي الرقم الغلط
168,من فضلك دخل ال بي آي ان بتاعك,من فضلك دخل ال بي آي ان بتاعك
169,م قادر اعدل الصورة,ما قادر اعدل الصورة
170,واحد بيرقر جبنة و عصير برتقال من فضلك,واحد بيرقر جبنة و عصير برتقال من فضلك
171,دا جوازي,دا جوازي
172,لي شكرا ليك كتير اه هل ممكن امشي فوق للقمة,ليه شكرا ليك كثير اه هل ممكن امشي فوق للقمة
173,ممكن اخد الكروية للموسيقى الجمعة الجاية,ممكن اخد الكروية للموسيقى الجمعة الجاية
174,راكب تاني هناك قال ممكن يبدل معاك المقعد,راكب ثاني هناك قال ممكن يبدل معاك المقعد
175,ممكن امدد اقامتي,ممكن امدد اقامتي
176,بتعرف اي حاجة بتستحق تتشاف قريب من هنا,بتعرف اي حاجة بتستحق تتشاف قريب من هنا
177,لا داير اأجر نص طقم من المضارب و جزمة,لا داير اأجر نص طقم من المضارب و جزمة
178,ممكن توريني لم الشنطة الرايحة تتلقى,ممكن توريني لم الشنطة الرايحة تتلقي
179,شنو اسم الحديقة القومية دي,شنو اسم الحديقة القومية دي
180,عندي جرح,عندي جرح
181,وين مكان جيد للسياحة,وين مكان جيد للسياحة
182,ممكن اشيل شوية فواكه,ممكن اشيل شوية فواكه
183,ممكن اتغدا هسي,ممكن اتغدى هسي
184,محتاج ابدل الدولارات دي,محتاج ابدل الدولارات دي
185,انا محتاج لتاكسي انا في ساوث مين و لايبرتي,انا محتاج لي تاكسي انا في ساوث مين و لايبرتي
186,بالتأكيد داير كيرلي,بالتأكيد داير كيرلي
187,هو ما تفاح لكن خوخ,هو ما تفاح لكن خوخ
188,ح اديك وصفة طبية شيلا للصيدلية,حاديك وصفة طبية شيلها للصيدلية
189,بنطير تلاتة ايام في الاسبوع في التلاتاء الجمعة و السبت,بنطير ثلاثة ايام في الاسبوع في الثلاثاء الجمعة و السبت
190,داك غالي ول لا,داك غالي ولا لا
191,ايوة عندنا داك ح نجهزوا ليك,ايوة عندنا داك حنجهزوا ليك
192,ح تمسك عفشي لغاية الساعة تلاتة,حتمسك عفشي لغاية الساعة ثلاثة
193,لا انا بس داير انزل,لا انا بس داير أنزل
194,ممكن احجز اجر-عربية هنا,ممكن احجز اجر-عربية هنا
195,هل انت امريكي,هل انت امريكي
196,للمكان دا من فضلك,للمكان ده من فضلك
197,عربيتي اتسرقت,عربيتي اتسرقت
198,وين ظل العين,وين ظل العين
199,دايرين ركن هادئ لو ممكن,دايرين ركن هادي  لو ممكن
200,هل التكسي دا مجاني,هل التكسي ده مجاني
201,هل دي محطة اكسبريس,هل دي محطة اكسبريس
202,ياتو زمن مفروض اجي ماري,ياتو زمن مفروض اجي ماري
203,داير قزازة نبيذ ابيض صغيرة,داير قزازة نبيذ ابيض صغيرة
204,اه ممكن اخد وجبتي بعدين ما حاسي اني كويس اسى,اه ممكن اخد وجبتي بعدين ما حاسي اني كويس اسي
205,في الحقيقة عندي خبر انا ح اتزوج,في الحقيقة عندي خبر انا حأتزوّج
206,اي سراويل تانيه,اي سراويل ثانية
207,ممكن اخد برنامج,ممكن اخد برنامج
208,في زول اقتحم غرفتي امبارح بالليل,في زول اقتحم غرفتي امبارح بالليل
209,وريني السمك الشفته اليوم في الألبوم من فضلك,وريني السمك الشفته اليوم في الألبوم من فضلك
210,شوف التعليمات في علبة الأكل المفرغة من الهواء,شوف التعليمات في علبة الأكل المفرغة من الهواء
211,داير قروش ورق,داير قروش ورق
212,هو خطف محفظتي وهرب,هو خطف محفظتي وهرب
213,م عندك دروس تجريبيه,ما عندك دروس تجريبيه
214,وين ممكن اشتري طوابع بريدية,وين ممكن اشتري طوابع بريدية
215,انا من بريطانيا العظمى,انا من بريطانيا العظمى
216,انا لازم اراجع داك مع زوجتي,انا لازم اراجع داك مع زوجتي
217,داير تعويض لي ده,داير تعويض لي ده
218,هناك في صندوق تلفون قدام البنك داك,هناك في صندوق تلفون قدام البنك داك
219,ح اصل يوم تسعه مارس وماشي يوم اربعتعشر,حأصل يوم تسعة مارس وماشي يوم اربعتعشر
220,داك غالي شويه ولا رايك شنو,داك غالي شوية ولا رايك شنو
221,هل انت عندك العقل,هل انت عندك العقل
222,وين محطة البص الترفيه,وين محطة البص الترفيه
223,هل انت مهتم بالتحلية,هل انت مهتم بالتحلية
224,انت بتتكلم,انت بتتكلم
225,نفس الشي لي انا من فضلك,نفس الشي لي انا من فضلك
226,طلبي ما وصل,طلبي ما وصل
227,في ينابيع سخنه كتيرة,في ينابيع سخنه كثيرة
228,من فضلك حول خمسين الف ين للدولار الأمريكي,من فضلك حول خمسين الف ين للدولار الأمريكي
229,داك كويس معاي في الحقيقه داير ادخن,داك كويس معاي في الحقيقة داير ادخن
230,وين ممكن اأجر ادوات سكي وجزم,وين ممكن اأجر ادوات سكي وجزم
231,نسيت مشروباتنا,نسيت مشروباتنا
232,ممكن ترسله لعنواني في اليابان ببريد تجمع الحزمه العالميه,ممكن ترسله لعنواني في اليابان ببريد تجمع الحزمه العالميه
233,داير قزازة نبيذ احمر,داير قزازة نبيذ احمر
234,بس لو كانت حقتك يا استاذ ههه-ههه نكته صغيره بس,بس لو كانت حقتك يا استاذ ههه-ههه نكتة صغيرة بس
235,بالتأكيد  كيف ممكن تندمج,بالتأكيد  كيف ممكن تندمج
236,عندنا بيره ويسكي براندي جن فودكا و خمر,عندنا بيرة ويسكي براندي جن فودكا و خمر
237,هويه اوه صاح هل باسبورت اوكي,هويه اوه صاح هل باسبورت اوكي
238,رقم غرفتي تلاتة ستة وعشرين هل ممكن تشيل غسيلي,رقم غرفتي ثلاثة ستة وعشرين هل ممكن تشيل غسيلي
239,ح اشوف اذا في واحد من ديل مناسب,حاشوف اذا في واحد من ديل مناسب
240,داير غلاية,داير غلاية
241,جبتي لي شويه جبنه مضفره,جبتي لي شوية جبنة مضفرة
242,هل ممكن القي قمصاني نضيفه صباح بكره,هل ممكن القى قمصاني نضيفة صباح بكرة
243,ممكن تخليه يرجع لي,ممكن تخليه يرجع لي
244,ليه طيب,ليه طيب
245,اعذرني  هل في اي مكتبات هنا,اعذرني  هل في اي مكتبات هنا
246,اعتقد انك عملت غلطه الغرفة كانت مجهزه عندي ايصال,اعتقد انك عملت غلطة الغرفة كانت مجهزة عندي ايصال
247,البص هناك,البص هناك
248,داير لفتين من ايزو ميه فلم ملون سته وتلاتين صورة من فضلك,داير لفتين من ايزو ميه فلم ملون ستة وثلاثين صورة من فضلك
249,داير اصدق شيك السبعين دولار دا,داير اصدق شيك السبعين دولار ده
250,داير اشتري طلبات لعشره كروت بريد لليابان من فضلك,داير اشتري طلبات لي عشره كروت بريد لليابان من فضلك
251,هل في اي بنوك جمب المحطة,هل في اي بنوك جنب المحطة
252,للاسف في غلط في الفاتورة,للاسف في غلط في الفاتورة
253,هو هنا,هو هنا
254,واحد بيرقر جبنه عشان امشي من فضلك,واحد بيرقر جبنه عشان امشي من فضلك
255,ما بتقدر تعمل شغل التصميم بدون كمبيوتر بعد دا,ما بتقدر تعمل شغل التصميم بدون كمبيوتر بعد ده
256,اجرى,أجري
257,في شرطه في بلوزتي ممكن تخيطها لي من فضلك,في شرطة في بلوزتي ممكن تخيطها لي من فضلك
258,التعريفة كم لى مانشستر,التعريفة كم لي مانشستر
259,ممكن تعيرني كيبل تقويه,ممكن تعيرني كيبل تقوية
260,وين ممكن اشتري حصيرة الشاطئ,وين ممكن أشتري حصيرة الشاطئ
261,من فضلك اديني حجر جديد,من فضلك أديني حجر جديد
262,اديني شوية لحم خنزير لكن ما سميك زي داك,اديني شوية لحم خنزير لكن ما سميك زي داك
263,نحن جايين سبعة,نحن جايين سبعة
264,عندي تسجلاتي اتسرقت برضه,عندي تسجلاتي اتسرقت برضو
265,عندي تسجيلاتي اتسرقت برضة,عندي تسجيلاتي اتسرقت برضو
266,مخروط ايسكريم الفانيلا من فضلك,مخروط ايسكريم الفانيلا من فضلك
267,اوافق مفروض يبقى طبيعي,اوافق مفروض يبقى طبيعي
268,عقل الوجوه عقل الفجوه ثم قرب الأبواب من فضلك,عقل الوجوه عقل الفجوه ثم قرب الأبواب من فضلك
269,ح احتاج ل كردت كارد,حأحتاج لي كردت كارد
270,هندا الرقم,هنده الرقم
271,وريني حتة جيدة في النهر دا من فضلك,وريني حتة جيدة في النهر ده من فضلك
272,من فضلك اديني تقرير حادث,من فضلك اديني تقرير الحادث
273,لا شكرا ليك قبل شوية,لا شكرا ليك قبل شوية
274,اوكي من فضلك خليك في الخط مستر تاكاجيما سيدة سايتو ما شكلها بترد على المكالمة دايرني اتصل عليها زمن اطول,اوكي من فضلك خليك في الخط مستر تاكاجيما سيدة سايتو ما شكلها بترد على المكالمة دايرني اتصل عليها زمن أطول
275,احتمال لكن مفروض نوزنهم منفصلين,احتمال لكن مفروض نوزنهم منفصلين
276,شكله نادر شديد جدا,شكله نادر شديد جدا
277,وين استلام العفش لرحلة سبعة صفر تلاتة,وين استلام العفش لي رحلة سبعة صفر ثلاثة
278,شي غلط مع قبضتك,شي غلط في قبضتك
279,هل دا ح يفسد,هل ده حيفسد
280,لا شكرا انا احسن ما اشرب زيادة,لا شكرا انا أحسن ما أشرب زيادة
281,من فضلك وريني شوية شوارع سهلة للتسوق,من فضلك وريني شوية شوارع سهلة للتسوق
282,هل البص داك بمشي لفندق الهيلتون,هل البص داك بمشي لي فندق الهيلتون
283,الآن الدهان دا خاص جدا عمله تسوروتارو كاتاوكا هو فنان عالمي معروف,الآن الدهان ده خاص جدا عمله تسوروتارو كاتاوكا هو فنان عالمي معروف
284,عندي تقدير عظيم للموسيقى الكلاسيكية,عندي تقدير عظيم للموسيقى الكلاسيكية
285,هل ممكن اعزمك بره للعشاء وقت ما,هل ممكن اعزمك برة للعشاء وقت ما
286,تمام ما اسم ورقم الطرف التاني لو سمحت,تمام ما اسم ورقم الطرف الثاني لو سمحت
287,اعزرني طلعني من فضلك,اعذرني طلعني من فضلك
288,ممكن تتصل على اصطاف يتكلم ياباني,ممكن تتصل على اصطاف يتكلم ياباني
289,بنزور قرايبنا غالبا,بنزور قرايبنا غالبا
290,ميكي هياكاوا الغرفة دي سبعة صفر اتنين,ميكي هياكاوا الغرفة دي سبعة صفر اثنين
291,مفروض اقعد هنا الليلة ول لا ممكن تساعدني اراجع غرفة فندق,مفروض اقعد هنا الليلة ولا لا ممكن تساعدني أراجع غرفة فندق
292,ما مفروض يكون طويل خمستاشر دقيقة بالكتير,ما مفروض يكون طويل خمستعشر دقيقة بالكثير
293,ممكن توريني السعر للمكالمة دي كم,ممكن توريني السعر للمكالمة دي كم
294,طيب ممكن توريها اني اتصلت من فضلك حاتصل بيها تاني بعدين,طيب ممكن توريها اني اتصلت من فضلك حاتصل بيها تاني بعدين
295,في اي جولة صباحية,في اي جولة صباحية
296,هل تحول العملات الأجنبية,هل بتحول العملات الأجنبية
297,ميزانتنا حوالي خمسين دولار ككل لتلات اشخاص,ميزانتنا حوالي خمسين دولار ككل لي ثلاثة اشخاص
298,وين ممكن اشتري لفة فلم,وين ممكن اشتري لفة فلم
299,هل عندك خمرة يابانية,هل عندك خمرة يابانية
300,داير بدلة سباحة اصغر من فضلك,داير بدلة سباحة اصغر من فضلك
301,داير اسجل عفشي,داير اسجل عفشي
302,دي غرفة مس كاوازو ستاشر حداشر,دي غرفة مس كاوازو ستعشر حدعشر
303,عفوا,عفوا
304,هناك ما في اي,هناك ما في اي
305,ياتو المهم ليكم يا يابانيين يوم رأس السنة ول يوم الكريسماس,ياتو المهم ليكم يا يابانيين يوم راس السنة ولا يوم الكريسماس
306,رقم مقعدك هو اتنين وتلاتين ايه امشي دغري بالممر دا هو مقعد الشباك,رقم مقعدك هو اثنين وثلاثين ايه امشي دغري بالممر ده هو مقعد الشباك
307,دقيقة فقط من فضلك,دقيقة فقط من فضلك
308,من فضلك املأ تقرير فقدان,من فضلك املأ تقرير فقدان
309,ما بفهم امريكي اتحدث انجليزي بريطاني,ما بفهم امريكي اتحدث انجليزي بريطاني
310,من امبارح,من امبارح
311,بيتضمن تأمين ضد التصادم و المسؤولية القانونية,بيتضمن تأمين ضد التصادم و المسؤولية القانونية
312,ضيعت ورقة الاستلام بتاعتي,ضيعت ورقة الاستلام بتاعتي
313,هل عندك اي ثقوب في تصميم جيد,هل عندك اي ثقوب في تصميم جيد
314,انا بتصل من كشك عام في مايسس,انا بتصل من كشك عام في مايسس
315,ديل كبار شديد,ديل كبار شديد
316,كم سعر الباركنج للساعة,كم سعر الباركنج للساعة
317,سيداتي و سادتي في رحلتنا اليوم عندنا حضور مخاطبة ياباني طائر,سيداتي و سادتي في رحلتنا اليوم عندنا حضور مخاطبة ياباني طائر
318,هل في اي فترة معينة من الفن بتفضل,هل هناك اي فترة معينة من الفن بتفضل
319,من فضلك راجعه مرة تانيه,من فضلك راجعه مرة تانية
320,امشي دغري على طول النهر حوالي نص ميل ح تجي الحديقة,امشي دغري على طول النهر حوالي نص ميل حتجي الحديقة
321,لا هم متينين جدا,لا هم متينين جدا
322,اوكي ح ارسله لي لاس فيجاس ليك,اوكي حارسله لي لاس فيجاس ليك
323,بفتش عن اقمصة جرى,بفتش عن اقمصة جري
324,داير اي حاجة تشربها من البار,داير اي حاجة تشربها من البار
325,الطريق دا من فضلك اخد المصعد دا,الطريق ده من فضلك اخد المصعد ده
326,افضل ليك تركب قطر تمنية و نص,افضل ليك تركب قطر ثمانية و نص
