,raw,coda
114,ل,لي
115,صحبى,صحبى
116,شكرا,شكرا
117,دا,ده
118,كفاية,كفاية
119,منو,منو
120,صحبك,صحبك
121,المفضل,المفضل
122,يوم,يوم
123,الصحة,الصحة
124,والرياضة,والرياضة
125,هو,هو
126,عشرة,عشرة
127,اكتوبر,اكتوبر
128,و,و
129,هوعطلة,هوعطلة
130,قومية,قومية
131,مصممة,مصممة
132,لتحسين,لتحسين
133,صحة,صحة
134,الناس,الناس
135,دايرني,دايرني
136,شوف,شوف
137,تحت,تحت
138,الكبوت,الكبوت
139,هل,هل
140,ممكن,ممكن
141,تساعدني,تساعدني
142,القى,القى
143,شنطتي,شنطتي
144,هل,هل
145,ممكن,ممكن
146,تعمل,تعمل
147,ترتيبات,ترتيبات
148,مقدما,مقدما
149,في,في
150,زول,زول
151,بيساعدني,بيساعدني
152,شكرا,شكرا
153,ليك,ليك
154,لمن,لمن
155,تصل,تصل
156,هناك,هناك
157,اسأل,اسأل
158,زول,زول
159,تاني,تاني
160,من,من
161,فضلك,فضلك
162,داير,داير
163,تمديد,تمديد
164,اربعة,اربعة
165,وعشرين,وعشرين
166,ساعة,ساعة
167,من,من
168,فضلك,فضلك
169,ديل,ديل
170,دولارين,دولارين
171,اخد,اخد
172,الباقي,الباقي
173,هامبرقر,هامبرقر
174,واحد,واحد
175,و,و
176,واحد,واحد
177,بيرقر,بيرقر
178,بالجبنة,بالجبنة
179,من,من
180,فضلك,فضلك
181,نحن,نحن
182,كلنا,كلنا
183,دايرين,دايرين
184,ندفع,ندفع
185,لي,لي
186,وجباتنا,وجباتنا
187,الموقع,الموقع
188,كان,كان
189,في,في
190,كرسي,كرسي
191,في,في
192,اللوبي,اللوبي
193,من,من
194,فضلك,فضلك
195,حول,حول
196,الينات,الينات
197,دي,دي
198,لي,لي
199,جنيهات,جنيهات
200,داير,داير
201,دكشنري,دكشنري
202,مقاس,مقاس
203,جيب,جيب
204,من,من
205,فضلك,فضلك
206,لي,لي
207,نفرين,نفرين
208,الساعة,الساعة
209,سبعة,سبعة
210,الاسم,الاسم
211,واتانيبل,واتانيبل
212,ساعتي,ساعتي
213,كانت,كانت
214,سيكو,سيكو
215,ديجيتال,ديجيتال
216,انت,انت
217,ساكن,ساكن
218,بي,بي
219,هنا,هنا
220,وين,وين
221,دكان,دكان
222,الهدايا,الهدايا
223,انا,انا
224,في,في
225,الطريق,الطريق
226,السريع,السريع
227,جنب,جنب
228,مورو,مورو
229,بي,بي
230,داير,داير
231,لي,لي
232,ساعة,ساعة
233,تنبيه,تنبيه
234,من,من
235,فضلك,فضلك
236,بالمناسبة,بالمناسبة
237,اسمي,اسمي
238,هيروشي,هيروشي
239,ايجيما,ايجيما
240,القطر,القطر
241,دا,دا
242,بقيف,بقيف
243,في,في
244,ليك,ليك
245,فورست,فورست
246,ول,ولا
247,لا,لأ
248,معظم,معظم
249,اليابانيين,اليابانيين
250,بياكلوا,بياكلوا
251,اخطبوط,اخطبوط
252,و,و
253,حبار,حبار
254,ممكن,ممكن
255,اخد,اخد
256,تذكرتين,تذكرتين
257,درجة,درجة
258,تانية,ثانية
259,الي,لي
260,شيكاغو,شيكاغو
261,من,من
262,فضلك,فضلك
263,مشيت,مشيت
264,نيويورك,نيويورك
265,رقم,رقم
266,الرحلة,الرحلة
267,كم,كم
268,واحد,واحد
269,الى,لي
270,نيويورك,نيويورك
271,من,من
272,فضلك,فضلك
273,لحوالي,لحوالي
274,ايام,ايام
275,قليلة,قليلة
276,التاني,الثاني
277,على,على
278,الشمال,الشمال
279,الكرت,الكرت
280,دا,ده
281,تمام,تمام
282,دا,ده
283,مكتب,مكتب
284,الاستقبال,الاستقبال
285,في,في
286,عيادة,عيادة
287,قريبة,قريبة
288,هل,هل
289,عشرة,عشرة
290,دولارات,دولارات
291,كفاية,كفاية
292,للتكسي,للتكسي
293,دا,ده
294,طعموا,طعموا
295,غريب,غريب
296,اي,اي
297,انتظر,انتظر
298,بجيب,بجيب
299,ليك,ليك
300,واحد,واحد
301,نص,نص
302,قارورة,قارورة
303,من,من
304,فضلك,فضلك
305,ما,ما
306,حقيقة,حقيقة
307,بس,بس
308,حاجة,حاجة
309,ما,ما
310,غالية,غالية
311,اربعة,اربعة
312,ليالي,ليالي
313,داير,داير
314,بعض,بعض
315,الشرابات,الشرابات
316,ممكن,ممكن
317,تخليه,تخليه
318,ارخص,ارخص
319,عشن,عشن
320,في,في
321,شوية,شوية
322,بقع,بقع
323,زول,زول
324,صدمني,صدمني
325,بعد,بعد
326,داك,داك
327,لاحظت,لاحظت
328,انو,انو
329,محفظتي,محفظتي
330,راحت,راحت
331,انا,انا
332,ما,ما
333,متأكد,متأكد
334,اذا,اذا
335,ستفت,ستفت
336,هدوم,هدوم
337,كافية,كافية
338,لي,لي
339,رحلة,رحلة
340,تلاته,ثلاثة
341,اسابيع,اسابيع
342,طيب,طيب
343,دايرين,دايرين
344,نجرب,نجرب
345,خمرة,خمرة
346,بيضاء,بيضاء
347,اذا,اذا
348,في,في
349,زول,زول
350,سأل,سأل
351,عني,عني
352,كلمهم,كلمهم
353,اني,اني
354,في,في
355,المقهى,المقهى
356,متأكد,متأكد
357,انه,انو
358,عندي,عندي
359,في,في
360,الجيب,الجيب
361,الداخلي,الداخلي
362,بتاع,بتاع
363,الجاكيت,الجاكيت
364,بتاعي,بتاعي
365,ممكن,ممكن
366,اعرف,اعرف
367,الاسم,الاسم
368,و,و
369,الرقم,الرقم
370,بتاع,بتاع
371,الزول,الزول
372,الانت,الانت
373,ضارب,ضارب
374,ليه,ليه
375,ما,ما
376,في,في
377,حاجة,حاجة
378,جات,جات
379,طالعة,طالعة
380,من,من
381,الآلة,الآلة
382,كان,كان
383,مفترض,مفترض
384,تاخد,تاخد
385,الرحلة,الرحلة
386,تمانية,ثمانية
387,اتنين,اثنين
388,صفر,صفر
389,الأقلعت,الأقلعت
390,قبل,قبل
391,خمستاشر,خمستعشر
392,دقيقة,دقيقة
393,كلو,كلو
394,تمام,تمام
395,ممكن,ممكن
396,انظم,انظم
397,رحلة,رحلة
398,ثانية,ثانية
399,زول,زول
400,فك,فك
401,حزمتي,حزمتي
402,اوه,اوه
403,ولا,ولا
404,حاجة,حاجة
405,انت,انت
406,هنا,هنا
407,على,على
408,كل,كل
409,حال,حال
410,الخطوط,الخطوط
411,الجوية,الجوية
412,اليابانية,اليابانية
413,رحلة,رحلة
414,رقم,رقم
415,واحد,واحد
416,اتنين,اثنين
417,تلاتة,ثلاثة
418,محتاج,محتاج
419,اشتري,اشتري
420,شامبوه,شامبوه
421,ممكن,ممكن
422,تكلمني,تكلمني
423,لم,لم
424,نصل,نصل
425,الي,لي
426,مركز,مركز
427,مدني,مدني
428,وين,وين
429,اقرب,اقرب
430,جزار,جزار
431,دايرين,دايرين
432,نقعد,نقعد
433,اربعة,اربعة
434,ليالي,ليالي
435,من,من
436,الأول,الأول
437,من,من
438,اغسطس,اغسطس
439,اسم,اسم
440,الزهرة,الزهرة
441,ديك,ديك
442,شنو,شنو
443,خمستاشر,خمستعشر
444,سبتمبر,سبتمبر
445,هو,هو
446,يوم,يوم
447,احترام,احترام
448,للمسنين,للمسنين
449,هل,هل
450,في,في
451,اي,اي
452,شي,شي
453,ممكن,ممكن
454,اخده,اخده
455,للطفح,للطفح
456,دا,ده
457,ممكن,ممكن
458,تغير,تغير
459,صيغة,صيغة
460,الي,الي
461,القلته,القلته
462,هسا,هسا
463,ممكن,ممكن
464,تتكلم,تتكلم
465,اعلى,اعلى
466,شوية,شوية
467,من,من
468,فضلك,فضلك
469,وين,وين
470,معلومات,معلومات
471,الرياضات,الرياضات
472,المقاس,المقاس
473,دا,ده
474,هنا,هنا
475,الواحد,الواحد
476,المسميه,المسميه
477,مقاس,مقاس
478,منتظم,منتظم
479,بقضّي,بقضّي
480,وين,وين
481,مفترض,مفترض
482,اغير,اغير
483,القطرعشن,القطرعشن
484,اصل,اصل
485,ادينبيره,ادينبيره
486,داير,داير
487,اخت,اخت
488,دا,ده
489,في,في
490,صندوق,صندوق
491,ايداع,ايداع
492,امن,امن
493,وين,وين
494,ممكن,ممكن
495,ابدل,ابدل
496,قروش,قروش
497,ممكن,ممكن
498,نخلي,نخلي
499,حاجاتتا,حاجاتتا
500,عدا,عدا
501,القيمة,القيمة
502,في,في
503,البص,البص
504,محتار,محتار
505,الرسوم,الرسوم
506,دي,دي
507,في,في
508,تلفوني,تلفوني
509,لي,لي
510,شنو,شنو
511,الآن,الآن
512,عرفت,عرفت
513,الكان,الكان
514,غلط,غلط
515,شنو,شنو
516,كم,كم
517,اوقية,اوقية
518,من,من
519,العطر,العطر
520,ممكن,ممكن
521,اشيل,أشيل
522,بدون,بدون
523,جمارك,جمارك
524,بس,بس
525,سياحة,سياحة
526,تمام,تمام
527,من,من
528,فضلك,فضلك
529,وقعهم,وقعهم
530,دايرو,دايره
531,كيف,كيف
532,هل,هل
533,ما,ما
534,زلت,زلت
535,عندك,عندك
536,داير,داير
537,واحد,واحد
538,كبير,كبير
539,نمت,نمت
540,خلال,خلال
541,منبه,منبه
542,الستة,الستة
543,و,و
544,نص,نص
545,انا,انا
546,مصور,مصور
547,حر,حر
548,التجار,التجار
549,ممكن,ممكن
550,يحاولوا,يحاولوا
551,دولاراتك,دولاراتك
552,لي,لي
553,قطع,قطع
554,الكازينو,الكازينو
555,عندنا,عندنا
556,حوالي,حوالي
557,تلاتين,ثلاثين
558,نوع,نوع
559,من,من
560,صابون,صابون
561,الحمام,الحمام
562,شكرا,شكرا
563,ليك,ليك
564,كم,كم
565,سعر,سعر
566,القفازات,القفازات
567,دي,دي
568,داير,داير
569,بعض,بعض
570,الحفاظات,الحفاظات
571,الممكن,الممكن
572,التخلص,التخلص
573,منها,منها
574,من,من
575,وين,وين
576,اصل,اصل
577,سمك,سمك
578,الفراشات,الفراشات
579,ده,ده
580,هل,هل
581,في,في
582,اي,اي
583,ليموزين,ليموزين
584,ممكن,ممكن
585,تضربو,تضربوا
586,لي,لي
587,تصحوني,تصحوني
588,خمسة,خمسة
589,و,و
590,نص,نص
591,بكرة,بكرة
592,الصباح,الصباح
593,بفضل,بفضل
594,غرفة,غرفة
595,هادية,هادية
596,داير,داير
597,مزيل,مزيل
598,منكير,منكير
599,داير,داير
600,بطارية,بطارية
601,هل,هل
602,في,في
603,فرقة,فرقة
604,لايف,لايف
605,ول,ولا
606,دي,دي
607,جي,جي
608,هل,هل
609,ممكن,ممكن
610,اأجّر,اأجّر
611,شوية,شوية
612,معدات,معدات
613,الغطس,الغطس
614,داير,داير
615,احجز,احجز
616,غرفة,غرفة
617,لي,لي
618,اربعة,اربعة
619,ليالي,ليالي
620,من,من
621,اتنين,اثنين
622,وعشرين,وعشرين
623,ديسمبر,ديسمبر
624,هل,هل
625,الشنطه,الشنطة
626,دي,دي
627,بتناسب,بتناسب
628,اي,اي
629,طقس,طقس
630,داير,داير
631,دونات,دونات
632,من,من
633,فضلك,فضلك
634,فوت,فوت
635,الرحلة,الرحلة
636,عشرين,عشرين
637,لي,لي
638,سان,سان
639,فرانسيسكو,فرانسيسكو
640,كم,كم
641,للمطار,للمطار
642,داك,داك
643,كويس,كويس
644,متين,متين
645,كم,كم
646,عمر,عمر
647,بنتك,بنتك
648,ممكن,ممكن
649,توريني,توريني
650,شوية,شوية
651,من,من
652,الفنادق,الفنادق
653,الرخيصة,الرخيصة
654,و,و
655,النضيفة,النضيفة
656,ممكن,ممكن
657,نحجز,نحجز
658,ليك,ليك
659,غرفة,غرفة
660,مريحة,مريحة
661,في,في
662,قصر,قصر
663,قديم,قديم
664,جنب,جنب
665,نادي,نادي
666,قولف,قولف
667,مشهور,مشهور
668,بزكي,بزكي
669,دا,دا
670,لأنه,لأنه
671,مصنوع,مصنوع
672,من,من
673,مية,مية
674,في,في
675,المية,المية
676,مكونات,مكونات
677,طبيعية,طبيعية
678,هل,هل
679,القطر,القطر
680,بيقف,بيقف
681,في,في
682,برايتون,برايتون
683,ممكن,ممكن
684,تكلمني,تكلمني
685,وين,وين
686,ممكن,ممكن
687,القى,القى
688,تكسي,تكسي
689,تزكرتين,تزكرتين
690,درجة,درجة
691,ثانية,ثانية
692,من,من
693,فضلك,فضلك
694,داير,داير
695,ارسل,ارسل
696,فاكس,فاكس
697,داير,داير
698,حديد,حديد
699,ترحال,ترحال
700,ممكن,ممكن
701,اقدم,اقدم
702,ليك,ليك
703,اي,اي
704,حاجة,حاجة
705,يومي,يومي
706,خايف,خايف
707,اسأل,اسأل
708,لكن,لكن
709,قصدك,قصدك
710,شنو,شنو
711,اي,اي
712,لكن,لكن
713,ما,ما
714,قوي,قوي
715,شديد,شديد
716,انا,انا
717,حساس,حساس
718,للكدايس,للكدايس
719,اي,اي
720,مفروض,مفروض
721,تملك,تملك
722,رخصة,رخصة
723,قيادة,قيادة
724,و,و
725,اه,اه
726,انت,انت
727,مفروض,مفروض
728,يكون,يكون
729,عندك,عندك
730,رخصة,رخصة
731,من,من
732,لجنة,لجنة
733,التكسي,التكسي
734,و,و
735,الليموزين,الليموزين
736,واصل,واصل
737,يا,يا
738,سيدي,سيدي
739,داير,داير
740,احجز,احجز
741,غرفة,غرفة
742,لليلة,لليلة
743,لا,لا
744,استبعد,استبعد
745,الضرائب,الضرائب
746,و,و
747,مصاريف,مصاريف
748,الخدمة,الخدمة
749,داير,داير
750,تمشي,تمشي
751,معاي,معاي
752,تسوق,تسوق
753,الليلة,الليلة
754,هاي,هاي
755,دا,ده
756,حقيقة,حقيقة
757,فستان,فستان
758,جميل,جميل
759,الآن,الآن
760,مكالمتك,مكالمتك
761,اتقبلت,اتقبلت
762,من,من
763,فضلك,فضلك
764,اتفضل,اتفضل
765,كم,كم
766,رقم,رقم
767,البوابة,البوابة
768,شنو,شنو
769,مطابق,مطابق
770,تزكار,تزكار
771,هاوايوان,هاوايوان
772,ممكن,ممكن
773,اصل,اصل
774,هناك,هناك
775,بالنفق,بالنفق
776,داير,داير
777,مجفف,مجفف
778,شعر,شعر
779,انا,انا
780,جيت,جيت
781,من,من
782,النرويج,النرويج
783,من,من
784,عشرة,عشرة
785,لي,لي
786,حداشر,حدعشر
787,من,من
788,فضلك,فضلك
789,بالتأكيد,بالتأكيد
790,خليني,خليني
791,اشوفه,اشوفه
792,انت,انت
793,اتجرحت,اتجرحت
794,بالمهرجان,بالمهرجان
795,بفترض,افترض
796,احتياطيا,احتياطيا
797,خليني,خليني
798,اخد,اخد
799,رقم,رقم
800,الزول,الزول
801,المسؤول,المسؤول
802,هل,هل
803,في,في
804,طريق,طريق
805,سريع,سريع
806,لي,ليه
807,ما,ما
808,جاء,جا
809,الحفلة,الحفلة
810,امبارح,امبارح
811,كان,كان
812,في,في
813,حادث,حادث
814,مرور,مرور
815,سوري,سوري
816,عندي,عندي
817,الرقم,الرقم
818,الغلط,الغلط
819,من,من
820,فضلك,فضلك
821,دخل,دخل
822,ال,ال
823,بي,بي
824,آي,آي
825,ان,ان
826,بتاعك,بتاعك
827,م,ما
828,قادر,قادر
829,اعدل,اعدل
830,الصورة,الصورة
831,واحد,واحد
832,بيرقر,بيرقر
833,جبنة,جبنة
834,و,و
835,عصير,عصير
836,برتقال,برتقال
837,من,من
838,فضلك,فضلك
839,دا,دا
840,جوازي,جوازي
841,لي,ليه
842,شكرا,شكرا
843,ليك,ليك
844,كتير,كثير
845,اه,اه
846,هل,هل
847,ممكن,ممكن
848,امشي,امشي
849,فوق,فوق
850,للقمة,للقمة
851,ممكن,ممكن
852,اخد,اخد
853,الكروية,الكروية
854,للموسيقى,للموسيقى
855,الجمعة,الجمعة
856,الجاية,الجاية
857,راكب,راكب
858,تاني,ثاني
859,هناك,هناك
860,قال,قال
861,ممكن,ممكن
862,يبدل,يبدل
863,معاك,معاك
864,المقعد,المقعد
865,ممكن,ممكن
866,امدد,امدد
867,اقامتي,اقامتي
868,بتعرف,بتعرف
869,اي,اي
870,حاجة,حاجة
871,بتستحق,بتستحق
872,تتشاف,تتشاف
873,قريب,قريب
874,من,من
875,هنا,هنا
876,لا,لا
877,داير,داير
878,اأجر,اأجر
879,نص,نص
880,طقم,طقم
881,من,من
882,المضارب,المضارب
883,و,و
884,جزمة,جزمة
885,ممكن,ممكن
886,توريني,توريني
887,لم,لم
888,الشنطة,الشنطة
889,الرايحة,الرايحة
890,تتلقى,تتلقي
891,شنو,شنو
892,اسم,اسم
893,الحديقة,الحديقة
894,القومية,القومية
895,دي,دي
896,عندي,عندي
897,جرح,جرح
898,وين,وين
899,مكان,مكان
900,جيد,جيد
901,للسياحة,للسياحة
902,ممكن,ممكن
903,اشيل,اشيل
904,شوية,شوية
905,فواكه,فواكه
906,ممكن,ممكن
907,اتغدا,اتغدى
908,هسي,هسي
909,محتاج,محتاج
910,ابدل,ابدل
911,الدولارات,الدولارات
912,دي,دي
913,بالتأكيد,بالتأكيد
914,داير,داير
915,كيرلي,كيرلي
916,هو,هو
917,ما,ما
918,تفاح,تفاح
919,لكن,لكن
920,خوخ,خوخ
921,بنطير,بنطير
922,تلاتة,ثلاثة
923,ايام,ايام
924,في,في
925,الاسبوع,الاسبوع
926,في,في
927,التلاتاء,الثلاثاء
928,الجمعة,الجمعة
929,و,و
930,السبت,السبت
931,داك,داك
932,غالي,غالي
933,ول,ولا
934,لا,لا
935,لا,لا
936,انا,انا
937,بس,بس
938,داير,داير
939,انزل,أنزل
940,ممكن,ممكن
941,احجز,احجز
942,اجر-عربية,اجر-عربية
943,هنا,هنا
944,هل,هل
945,انت,انت
946,امريكي,امريكي
947,للمكان,للمكان
948,دا,ده
949,من,من
950,فضلك,فضلك
951,عربيتي,عربيتي
952,اتسرقت,اتسرقت
953,وين,وين
954,ظل,ظل
955,العين,العين
956,دايرين,دايرين
957,ركن,ركن
958,هادئ,هادي
959,لو,لو
960,ممكن,ممكن
961,هل,هل
962,التكسي,التكسي
963,دا,ده
964,مجاني,مجاني
965,هل,هل
966,دي,دي
967,محطة,محطة
968,اكسبريس,اكسبريس
969,ياتو,ياتو
970,زمن,زمن
971,مفروض,مفروض
972,اجي,اجي
973,ماري,ماري
974,داير,داير
975,قزازة,قزازة
976,نبيذ,نبيذ
977,ابيض,ابيض
978,صغيرة,صغيرة
979,اه,اه
980,ممكن,ممكن
981,اخد,اخد
982,وجبتي,وجبتي
983,بعدين,بعدين
984,ما,ما
985,حاسي,حاسي
986,اني,اني
987,كويس,كويس
988,اسى,اسي
989,اي,اي
990,سراويل,سراويل
991,تانيه,ثانية
992,ممكن,ممكن
993,اخد,اخد
994,برنامج,برنامج
995,في,في
996,زول,زول
997,اقتحم,اقتحم
998,غرفتي,غرفتي
999,امبارح,امبارح
1000,بالليل,بالليل
1001,وريني,وريني
1002,السمك,السمك
1003,الشفته,الشفته
1004,اليوم,اليوم
1005,في,في
1006,الألبوم,الألبوم
1007,من,من
1008,فضلك,فضلك
1009,شوف,شوف
1010,التعليمات,التعليمات
1011,في,في
1012,علبة,علبة
1013,الأكل,الأكل
1014,المفرغة,المفرغة
1015,من,من
1016,الهواء,الهواء
1017,داير,داير
1018,قروش,قروش
1019,ورق,ورق
1020,هو,هو
1021,خطف,خطف
1022,محفظتي,محفظتي
1023,وهرب,وهرب
1024,م,ما
1025,عندك,عندك
1026,دروس,دروس
1027,تجريبيه,تجريبيه
1028,وين,وين
1029,ممكن,ممكن
1030,اشتري,اشتري
1031,طوابع,طوابع
1032,بريدية,بريدية
1033,انا,انا
1034,من,من
1035,بريطانيا,بريطانيا
1036,العظمى,العظمى
1037,انا,انا
1038,لازم,لازم
1039,اراجع,اراجع
1040,داك,داك
1041,مع,مع
1042,زوجتي,زوجتي
1043,داير,داير
1044,تعويض,تعويض
1045,لي,لي
1046,ده,ده
1047,هناك,هناك
1048,في,في
1049,صندوق,صندوق
1050,تلفون,تلفون
1051,قدام,قدام
1052,البنك,البنك
1053,داك,داك
1054,داك,داك
1055,غالي,غالي
1056,شويه,شوية
1057,ولا,ولا
1058,رايك,رايك
1059,شنو,شنو
1060,هل,هل
1061,انت,انت
1062,عندك,عندك
1063,العقل,العقل
1064,وين,وين
1065,محطة,محطة
1066,البص,البص
1067,الترفيه,الترفيه
1068,هل,هل
1069,انت,انت
1070,مهتم,مهتم
1071,بالتحلية,بالتحلية
1072,انت,انت
1073,بتتكلم,بتتكلم
1074,نفس,نفس
1075,الشي,الشي
1076,لي,لي
1077,انا,انا
1078,من,من
1079,فضلك,فضلك
1080,طلبي,طلبي
1081,ما,ما
1082,وصل,وصل
1083,في,في
1084,ينابيع,ينابيع
1085,سخنه,سخنه
1086,كتيرة,كثيرة
1087,من,من
1088,فضلك,فضلك
1089,حول,حول
1090,خمسين,خمسين
1091,الف,الف
1092,ين,ين
1093,للدولار,للدولار
1094,الأمريكي,الأمريكي
1095,داك,داك
1096,كويس,كويس
1097,معاي,معاي
1098,في,في
1099,الحقيقه,الحقيقة
1100,داير,داير
1101,ادخن,ادخن
1102,وين,وين
1103,ممكن,ممكن
1104,اأجر,اأجر
1105,ادوات,ادوات
1106,سكي,سكي
1107,وجزم,وجزم
1108,نسيت,نسيت
1109,مشروباتنا,مشروباتنا
1110,ممكن,ممكن
1111,ترسله,ترسله
1112,لعنواني,لعنواني
1113,في,في
1114,اليابان,اليابان
1115,ببريد,ببريد
1116,تجمع,تجمع
1117,الحزمه,الحزمه
1118,العالميه,العالميه
1119,داير,داير
1120,قزازة,قزازة
1121,نبيذ,نبيذ
1122,احمر,احمر
1123,بس,بس
1124,لو,لو
1125,كانت,كانت
1126,حقتك,حقتك
1127,يا,يا
1128,استاذ,استاذ
1129,ههه-ههه,ههه-ههه
1130,نكته,نكتة
1131,صغيره,صغيرة
1132,بس,بس
1133,بالتأكيد,بالتأكيد
1134,كيف,كيف
1135,ممكن,ممكن
1136,تندمج,تندمج
1137,عندنا,عندنا
1138,بيره,بيرة
1139,ويسكي,ويسكي
1140,براندي,براندي
1141,جن,جن
1142,فودكا,فودكا
1143,و,و
1144,خمر,خمر
1145,هويه,هويه
1146,اوه,اوه
1147,صاح,صاح
1148,هل,هل
1149,باسبورت,باسبورت
1150,اوكي,اوكي
1151,رقم,رقم
1152,غرفتي,غرفتي
1153,تلاتة,ثلاثة
1154,ستة,ستة
1155,وعشرين,وعشرين
1156,هل,هل
1157,ممكن,ممكن
1158,تشيل,تشيل
1159,غسيلي,غسيلي
1160,داير,داير
1161,غلاية,غلاية
1162,جبتي,جبتي
1163,لي,لي
1164,شويه,شوية
1165,جبنه,جبنة
1166,مضفره,مضفرة
1167,هل,هل
1168,ممكن,ممكن
1169,القي,القى
1170,قمصاني,قمصاني
1171,نضيفه,نضيفة
1172,صباح,صباح
1173,بكره,بكرة
1174,ممكن,ممكن
1175,تخليه,تخليه
1176,يرجع,يرجع
1177,لي,لي
1178,ليه,ليه
1179,طيب,طيب
1180,اعذرني,اعذرني
1181,هل,هل
1182,في,في
1183,اي,اي
1184,مكتبات,مكتبات
1185,هنا,هنا
1186,اعتقد,اعتقد
1187,انك,انك
1188,عملت,عملت
1189,غلطه,غلطة
1190,الغرفة,الغرفة
1191,كانت,كانت
1192,مجهزه,مجهزة
1193,عندي,عندي
1194,ايصال,ايصال
1195,البص,البص
1196,هناك,هناك
1197,داير,داير
1198,لفتين,لفتين
1199,من,من
1200,ايزو,ايزو
1201,ميه,ميه
1202,فلم,فلم
1203,ملون,ملون
1204,سته,ستة
1205,وتلاتين,وثلاثين
1206,صورة,صورة
1207,من,من
1208,فضلك,فضلك
1209,داير,داير
1210,اصدق,اصدق
1211,شيك,شيك
1212,السبعين,السبعين
1213,دولار,دولار
1214,دا,ده
1215,هل,هل
1216,في,في
1217,اي,اي
1218,بنوك,بنوك
1219,جمب,جنب
1220,المحطة,المحطة
1221,للاسف,للاسف
1222,في,في
1223,غلط,غلط
1224,في,في
1225,الفاتورة,الفاتورة
1226,هو,هو
1227,هنا,هنا
1228,واحد,واحد
1229,بيرقر,بيرقر
1230,جبنه,جبنه
1231,عشان,عشان
1232,امشي,امشي
1233,من,من
1234,فضلك,فضلك
1235,ما,ما
1236,بتقدر,بتقدر
1237,تعمل,تعمل
1238,شغل,شغل
1239,التصميم,التصميم
1240,بدون,بدون
1241,كمبيوتر,كمبيوتر
1242,بعد,بعد
1243,دا,ده
1244,اجرى,أجري
1245,في,في
1246,شرطه,شرطة
1247,في,في
1248,بلوزتي,بلوزتي
1249,ممكن,ممكن
1250,تخيطها,تخيطها
1251,لي,لي
1252,من,من
1253,فضلك,فضلك
1254,التعريفة,التعريفة
1255,كم,كم
1256,لى,لي
1257,مانشستر,مانشستر
1258,ممكن,ممكن
1259,تعيرني,تعيرني
1260,كيبل,كيبل
1261,تقويه,تقوية
1262,وين,وين
1263,ممكن,ممكن
1264,اشتري,أشتري
1265,حصيرة,حصيرة
1266,الشاطئ,الشاطئ
1267,من,من
1268,فضلك,فضلك
1269,اديني,أديني
1270,حجر,حجر
1271,جديد,جديد
1272,اديني,اديني
1273,شوية,شوية
1274,لحم,لحم
1275,خنزير,خنزير
1276,لكن,لكن
1277,ما,ما
1278,سميك,سميك
1279,زي,زي
1280,داك,داك
1281,نحن,نحن
1282,جايين,جايين
1283,سبعة,سبعة
1284,عندي,عندي
1285,تسجلاتي,تسجلاتي
1286,اتسرقت,اتسرقت
